date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,115.25,116.75,114.38,115.13,462741,0.0,1.0
1999-11-02,115.38,115.75,111.63,111.81,265409,0.0,1.0
1999-11-03,112.0,112.44,111.31,112.0,467249,0.0,1.0
1999-11-04,112.0,114.25,112.0,114.13,613155,0.0,1.0
1999-11-05,114.5,116.75,114.5,115.38,547286,0.0,1.0
1999-11-08,115.0,116.75,114.94,116.38,319135,0.0,1.0
1999-11-09,116.38,118.44,115.88,117.94,427875,0.0,1.0
1999-11-10,117.5,119.44,117.38,119.13,688868,0.0,1.0
1999-11-11,120.0,122.25,120.0,121.63,297240,0.0,1.0
1999-11-12,121.63,122.0,120.5,121.75,324563,0.0,1.0
1999-11-15,122.75,128.0,122.75,127.0,1018215,0.0,1.0
1999-11-16,126.63,127.25,125.75,126.75,583165,0.0,1.0
1999-11-17,127.0,127.25,123.5,124.44,304232,0.0,1.0
1999-11-18,124.69,125.81,123.88,124.56,305428,0.0,1.0
1999-11-19,124.44,126.88,124.44,126.5,376265,0.0,1.0
1999-11-22,127.0,128.13,126.19,127.69,470745,0.0,1.0
1999-11-23,128.5,128.5,126.5,127.63,615915,0.0,1.0
1999-11-24,127.75,130.5,127.13,129.94,501196,0.0,1.0
1999-11-26,130.5,133.25,130.44,132.25,400276,0.0,1.0
1999-11-29,132.5,136.75,132.5,134.0,809016,0.0,1.0
1999-11-30,134.5,134.56,133.0,133.19,777829,0.0,1.0
1999-12-01,133.13,136.25,133.0,133.75,534959,0.0,1.0
1999-12-02,133.75,135.63,132.88,134.5,339926,0.0,1.0
1999-12-03,135.0,136.75,134.63,134.88,282061,0.0,1.0
1999-12-06,135.63,137.0,135.0,135.38,215915,0.0,1.0
1999-12-07,135.63,136.94,134.63,135.83,224839,0.0,1.0
1999-12-08,134.94,135.13,132.38,133.31,472217,0.0,1.0
1999-12-09,134.0,134.13,127.13,127.56,547654,0.0,1.0
1999-12-10,127.56,127.75,122.13,125.5,664029,0.0,1.0
1999-12-13,125.0,125.13,116.13,119.88,913615,0.06,1.0
1999-12-14,121.0,126.5,120.5,124.75,1177829,0.0,1.0
1999-12-15,124.75,128.0,124.13,127.13,646734,0.0,1.0
1999-12-16,128.0,128.5,120.63,123.63,609660,0.0,1.0
1999-12-17,123.63,124.75,119.75,122.13,650046,0.0,1.0
1999-12-20,121.5,125.63,121.13,124.38,703772,0.0,1.0
1999-12-21,124.38,125.5,124.38,125.44,426219,0.0,1.0
1999-12-22,125.19,126.38,124.13,124.5,506256,0.0,1.0
1999-12-23,124.13,124.19,119.5,120.38,757958,0.0,1.0
1999-12-27,119.88,121.5,119.88,120.88,399724,0.0,1.0
1999-12-28,120.75,124.0,120.75,124.0,444526,0.0,1.0
1999-12-29,121.63,123.0,121.44,122.88,464213,0.0,1.0
1999-12-30,122.0,125.0,122.0,122.75,508740,0.0,1.0
1999-12-31,123.0,126.56,123.0,126.0,215731,0.0,1.0
2000-01-03,126.13,127.25,122.0,122.25,1073689,0.0,1.0
2000-01-04,121.0,121.0,112.88,113.75,595216,0.0,1.0
2000-01-05,114.75,115.88,109.31,111.0,738270,0.0,1.0
2000-01-06,110.5,110.5,99.06,100.63,1087764,0.0,1.0
2000-01-07,102.5,108.25,102.0,107.88,812328,0.0,1.0
2000-01-10,110.25,115.88,110.25,115.88,580589,0.0,1.0
2000-01-11,115.5,115.5,111.5,112.0,826679,0.0,1.0
2000-01-12,112.0,112.38,106.5,107.0,857222,0.0,1.0
2000-01-13,106.5,111.25,106.5,110.0,533395,0.0,1.0
2000-01-14,111.0,112.25,109.06,109.44,417479,0.0,1.0
2000-01-18,107.88,115.5,107.88,114.5,612511,0.0,1.0
2000-01-19,115.5,119.0,115.25,118.5,735787,0.0,1.0
2000-01-20,118.5,120.5,117.63,118.38,646918,0.0,1.0
