date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-16,23.9,23.9,23.9,23.9,1500,0.0,1.0
2007-07-17,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-07-18,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-07-19,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-07-20,23.9,23.9,23.9,23.9,5100,0.0,1.0
2007-07-23,24.35,24.35,24.35,24.35,1000,0.0,1.0
2007-07-24,24.35,24.35,24.35,24.35,0,0.0,1.0
2007-07-25,23.65,24.1,23.65,23.65,345,0.0,1.0
2007-07-26,23.6,23.6,23.6,23.6,523,0.0,1.0
2007-07-27,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-07-30,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-07-31,23.45,23.45,23.45,23.45,1500,0.0,1.0
2007-08-01,23.45,23.45,23.45,23.45,0,0.0,1.0
2007-08-02,23.85,23.85,23.85,23.85,154,0.0,1.0
2007-08-03,23.85,23.85,23.85,23.85,0,0.0,1.0
2007-08-06,23.85,23.85,23.85,23.85,0,0.0,1.0
2007-08-07,23.85,23.85,23.85,23.85,0,0.0,1.0
2007-08-08,23.85,23.85,23.85,23.85,0,0.0,1.0
2007-08-09,24.55,24.55,24.55,24.55,3382,0.0,1.0
2007-08-10,24.55,24.55,24.55,24.55,0,0.0,1.0
2007-08-13,24.55,24.55,24.55,24.55,0,0.0,1.0
2007-08-14,23.6,23.6,23.6,23.6,220,0.0,1.0
2007-08-15,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-08-16,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-08-17,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-08-20,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-08-21,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-08-22,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-08-23,23.6,23.6,23.6,23.6,0,0.0,1.0
2007-08-24,23.9,23.9,23.9,23.9,1000,0.0,1.0
2007-08-27,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-08-28,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-08-29,23.9,23.9,23.9,23.9,0,0.0,1.0
