date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,59.45,59.45,59.45,59.45,272044,0.0,1.0
2007-07-16,59.85,60.0,59.85,59.85,125322,0.0,1.0
2007-07-17,60.25,60.25,60.25,60.25,59777,0.0,1.0
2007-07-18,61.85,61.85,61.85,61.85,45253,0.0,1.0
2007-07-19,62.55,62.65,62.55,62.55,9517,0.0,1.0
2007-07-20,61.85,62.05,61.85,61.85,12277,0.0,1.0
2007-07-23,61.35,61.45,61.35,61.35,43382,0.0,1.0
2007-07-24,58.0,58.88,58.0,58.0,22135,0.0,1.0
2007-07-25,57.1,57.62,57.1,57.1,243182,0.0,1.0
2007-07-26,53.6,55.3,53.6,53.6,116667,0.0,1.0
2007-07-27,54.95,55.1,54.95,54.95,119337,0.0,1.0
2007-07-30,55.85,55.85,55.85,55.85,9133,0.0,1.0
2007-07-31,55.15,55.95,55.15,55.15,31182,0.0,1.0
2007-08-01,53.5,54.05,53.5,53.5,18981,0.0,1.0
2007-08-02,56.7,56.7,56.7,56.7,12117,0.0,1.0
2007-08-03,56.05,56.75,56.05,56.05,11427,0.0,1.0
2007-08-06,56.05,56.75,56.05,56.05,0,0.0,1.0
2007-08-07,54.45,54.85,54.45,54.45,11761,0.0,1.0
2007-08-08,55.25,55.75,55.25,55.25,61292,0.0,1.0
2007-08-09,52.6,54.25,52.6,52.6,29858,0.0,1.0
2007-08-10,51.5,51.75,51.5,51.5,24264,0.0,1.0
2007-08-13,52.55,52.85,52.55,52.55,75007,0.0,1.0
2007-08-14,52.45,54.0,52.45,52.45,168570,0.0,1.0
2007-08-15,52.2,53.6,52.2,52.2,197876,0.0,1.0
2007-08-16,50.95,51.65,50.95,50.95,30593,0.0,1.0
2007-08-17,52.75,52.85,52.75,52.75,12633,0.0,1.0
2007-08-20,52.95,53.15,52.95,52.95,97484,0.0,1.0
2007-08-21,51.9,52.3,51.9,51.9,213590,0.0,1.0
2007-08-22,53.15,53.15,53.15,53.15,7406,0.0,1.0
2007-08-23,52.66,53.5,52.66,52.66,20856,0.0,1.0
2007-08-24,53.2,53.5,53.2,53.2,18625,0.0,1.0
2007-08-27,52.95,53.4,52.95,52.95,12599,0.0,1.0
2007-08-28,52.14,53.1,52.14,52.14,168882,0.0,1.0
2007-08-29,54.1,54.45,54.1,54.1,19421,0.0,1.0
2007-08-30,54.05,54.55,54.05,54.05,9604,0.0,1.0
2007-08-31,55.65,55.8,55.65,55.65,427050,0.0,1.0
2007-09-04,55.54,55.55,55.54,55.54,12010,0.0,1.0
2007-09-05,56.4,56.8,56.4,56.4,41432,0.0,1.0
2007-09-06,58.2,58.35,58.2,58.2,96855,0.0,1.0
2007-09-07,57.35,57.85,57.35,57.35,69909,0.0,1.0
2007-09-10,58.2,58.46,58.2,58.2,11183,0.0,1.0
2007-09-11,58.55,58.9,58.55,58.55,49419,0.0,1.0
2007-09-12,59.25,59.55,59.25,59.25,29259,0.0,1.0
2007-09-13,60.55,60.85,60.55,60.55,51835,0.0,1.0
2007-09-14,62.01,62.1,62.01,62.01,20801,0.0,1.0
2007-09-17,60.9,61.65,60.9,60.9,60267,0.0,1.0
2007-09-18,61.8,61.8,61.8,61.8,8448,0.0,1.0
2007-09-19,60.35,60.9,60.35,60.35,6218,0.0,1.0
2007-09-20,59.2,59.4,59.2,59.2,9006,0.0,1.0
2007-09-21,58.39,58.65,58.39,58.39,14734,0.0,1.0
2007-09-24,58.89,59.1,58.89,58.89,9614,0.0,1.0
2007-09-25,59.02,59.05,59.02,59.02,695386,0.0,1.0
2007-09-26,58.07,59.01,58.07,58.07,54910,0.0,1.0
2007-09-27,58.64,58.69,58.64,58.64,16138,0.0,1.0
2007-09-28,60.4,60.4,60.4,60.4,47619,0.0,1.0
2007-10-01,61.0,61.38,61.0,61.0,16954,0.0,1.0
2007-10-02,60.09,60.09,60.09,60.09,40329,0.0,1.0
2007-10-03,58.14,59.05,58.14,58.14,11465,0.0,1.0
2007-10-04,59.75,59.8,59.75,59.75,42657,0.0,1.0
2007-10-05,60.15,60.55,60.15,60.15,50608,0.0,1.0
2007-10-08,59.3,59.75,59.3,59.3,16301,0.0,1.0
2007-10-09,60.4,60.46,60.4,60.4,14398,0.0,1.0
2007-10-10,60.5,60.73,60.5,60.5,11500,0.0,1.0
2007-10-11,63.06,64.0,63.06,63.06,42923,0.0,1.0
2007-10-12,63.75,64.2,63.75,63.75,21706,0.0,1.0
2007-10-15,63.7,64.0,63.7,63.7,29213,0.0,1.0
2007-10-16,63.66,63.95,63.66,63.66,13386,0.0,1.0
2007-10-17,64.2,64.45,64.2,64.2,13290,0.0,1.0
2007-10-18,63.9,64.05,63.9,63.9,13760,0.0,1.0
2007-10-19,63.58,64.3,63.58,63.58,19789,0.0,1.0
2007-10-22,62.1,62.3,62.1,62.1,11568,0.0,1.0
2007-10-23,64.07,64.1,64.07,64.07,14332,0.0,1.0
2007-10-24,63.28,64.4,63.28,63.28,10665,0.0,1.0
2007-10-25,65.28,65.5,65.28,65.28,12152,0.0,1.0
2007-10-26,65.31,66.4,65.31,65.31,22937,0.0,1.0
2007-10-29,65.9,66.1,65.9,65.9,15446,0.0,1.0
2007-10-30,66.6,66.79,66.6,66.6,10574,0.0,1.0
2007-10-31,70.4,71.0,70.4,70.4,22739,0.0,1.0
2007-11-01,68.57,69.45,68.57,68.57,45289,0.0,1.0
2007-11-02,70.07,70.08,70.07,70.07,21803,0.0,1.0
2007-11-05,70.3,70.35,70.3,70.3,16773,0.0,1.0
2007-11-06,72.24,72.25,72.24,72.24,5306,0.0,1.0
