date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-09-30,6.4,6.4,6.4,6.4,2300,0.0,1.0
2010-10-01,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-04,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-05,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-06,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-07,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-08,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-11,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-12,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-13,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-14,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-15,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-18,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-19,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-20,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-21,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-22,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-25,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-26,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-27,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-28,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-10-29,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-01,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-02,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-03,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-04,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-05,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-08,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-09,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-10,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-11,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-12,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-15,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-16,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-17,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-18,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-19,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-22,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-23,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-24,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-26,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-29,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-11-30,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-01,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-02,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-03,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-06,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-07,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-08,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-09,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-10,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-13,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-14,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-15,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-16,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-17,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-20,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-21,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-22,6.4,6.4,6.4,6.4,0,0.0965,1.0
2010-12-23,6.4,6.4,6.4,6.4,0,0.0827,1.0
2010-12-27,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-28,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-29,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-30,6.4,6.4,6.4,6.4,0,0.0,1.0
2010-12-31,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-03,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-04,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-05,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-06,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-07,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-10,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-11,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-12,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-13,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-14,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-18,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-19,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-20,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-21,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-24,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-25,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-26,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-27,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-28,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-01-31,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-01,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-02,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-03,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-04,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-07,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-08,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-09,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-10,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-11,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-14,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-15,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-16,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-17,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-18,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-22,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-23,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-24,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-25,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-02-28,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-01,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-02,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-03,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-04,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-07,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-08,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-09,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-10,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-11,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-14,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-15,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-16,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-17,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-18,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-21,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-22,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-23,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-24,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-25,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-28,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-29,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-30,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-03-31,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-01,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-04,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-05,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-06,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-07,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-08,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-11,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-12,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-13,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-14,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-15,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-18,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-19,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-20,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-21,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-25,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-26,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-27,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-28,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-04-29,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-02,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-03,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-04,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-05,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-06,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-09,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-10,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-11,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-12,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-13,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-16,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-17,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-18,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-19,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-20,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-23,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-24,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-25,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-26,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-27,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-05-31,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-06-01,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-06-02,6.4,6.4,6.4,6.4,0,0.0,1.0
2011-06-03,6.4,6.4,6.4,6.4,0,0.0,1.0
