date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-07-08,5.05,5.05,5.05,5.05,181,0.0,1.0
2019-07-09,5.06,5.27,5.05,5.25,59199,0.0,1.0
2019-07-10,5.24,5.24,5.21,5.23,40314,0.0,1.0
2019-07-11,5.21,5.22,5.15,5.18,119393,0.0,1.0
2019-07-12,5.3,5.3,5.25,5.25,62481,0.0,1.0
2019-07-15,5.27,5.29,5.25,5.27,7393,0.0,1.0
2019-07-16,5.27,5.28,5.23,5.23,17441,0.0,1.0
2019-07-17,5.32,5.33,5.27,5.28,27934,0.0,1.0
2019-07-18,5.3,5.33,5.28,5.32,14670,0.0,1.0
2019-07-19,5.26,5.26,5.16,5.17,4689,0.0,1.0
2019-07-22,5.12,5.13,5.1,5.12,25335,0.0,1.0
2019-07-23,5.18,5.18,5.1,5.15,42972,0.0,1.0
2019-07-24,5.16,5.2,5.15,5.16,8077,0.0,1.0
2019-07-25,5.2,5.2,5.15,5.18,10851,0.0,1.0
2019-07-26,5.31,5.38,5.31,5.35,99861,0.0,1.0
2019-07-29,5.44,5.46,5.43,5.43,140433,0.0,1.0
2019-07-30,5.28,5.29,5.25,5.28,12066,0.0,1.0
2019-07-31,5.3,5.3,5.2,5.28,6741,0.0,1.0
2019-08-01,5.27,5.36,5.21,5.35,49695,0.0,1.0
2019-08-02,5.22,5.22,5.18,5.22,14921,0.0,1.0
2019-08-05,5.12,5.12,5.05,5.09,26038,0.0,1.0
2019-08-06,5.1,5.1,5.03,5.06,31160,0.0,1.0
2019-08-07,5.07,5.1,5.06,5.07,7620,0.0,1.0
2019-08-08,5.1,5.12,5.06,5.06,71785,0.0,1.0
2019-08-09,4.86,4.86,4.8,4.8,63729,0.0,1.0
2019-08-12,4.76,4.78,4.72,4.78,51257,0.0,1.0
2019-08-13,4.72,4.72,4.66,4.66,74116,0.0,1.0
2019-08-14,4.56,4.59,4.51,4.52,23465,0.0,1.0
2019-08-15,4.54,4.55,4.47,4.5,60779,0.0,1.0
2019-08-16,4.53,4.55,4.51,4.51,68800,0.0,1.0
2019-08-19,4.69,4.7,4.66,4.67,70610,0.0,1.0
2019-08-20,4.63,4.65,4.6,4.6,41213,0.0,1.0
2019-08-21,4.68,4.71,4.68,4.69,25395,0.0,1.0
2019-08-22,4.82,4.82,4.75,4.76,39128,0.0,1.0
2019-08-23,4.78,4.78,4.68,4.68,14816,0.0,1.0
2019-08-26,4.78,4.8,4.75,4.79,34147,0.0,1.0
2019-08-27,4.85,4.87,4.8,4.81,93086,0.0,1.0
2019-08-28,4.91,4.96,4.89,4.92,28187,0.0,1.0
