date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-07-08,5.5,5.99,5.1,5.88,3432,0.0,1.0
2019-07-09,5.58,5.59,5.52,5.59,105793,0.0,1.0
2019-07-10,5.6,5.63,5.55,5.61,124385,0.0,1.0
2019-07-11,5.6,5.64,5.54,5.6,281802,0.0,1.0
2019-07-12,5.64,5.66,5.61,5.63,261250,0.0,1.0
2019-07-15,5.65,5.7,5.62,5.63,280832,0.0,1.0
2019-07-16,5.64,5.66,5.58,5.59,168068,0.0,1.0
2019-07-17,5.65,5.66,5.59,5.64,294902,0.0,1.0
2019-07-18,5.64,5.7,5.64,5.66,174222,0.0,1.0
2019-07-19,5.51,5.52,5.48,5.48,244819,0.0,1.0
2019-07-22,5.48,5.5,5.45,5.46,197433,0.0,1.0
2019-07-23,5.5,5.51,5.46,5.51,309649,0.0,1.0
2019-07-24,5.49,5.5,5.47,5.5,41601,0.0,1.0
2019-07-25,5.5,5.5,5.46,5.49,26062,0.0,1.0
2019-07-26,5.63,5.72,5.63,5.7,127246,0.0,1.0
2019-07-29,5.8,5.81,5.77,5.77,55596,0.0,1.0
2019-07-30,5.6,5.61,5.56,5.58,93552,0.0,1.0
2019-07-31,5.64,5.66,5.56,5.56,45972,0.0,1.0
2019-08-01,5.56,5.66,5.53,5.64,100575,0.0,1.0
2019-08-02,5.53,5.54,5.49,5.49,31387,0.0,1.0
2019-08-05,5.42,5.45,5.36,5.36,89586,0.0,1.0
2019-08-06,5.43,5.44,5.35,5.37,134254,0.0,1.0
2019-08-07,5.35,5.39,5.33,5.38,179932,0.0,1.0
2019-08-08,5.39,5.44,5.36,5.36,160069,0.0,1.0
2019-08-09,5.15,5.16,5.09,5.09,64296,0.0,1.0
2019-08-12,5.08,5.09,5.04,5.06,111692,0.0,1.0
2019-08-13,5.03,5.03,4.96,5.0,166510,0.0,1.0
2019-08-14,4.89,4.89,4.82,4.82,120723,0.0,1.0
2019-08-15,4.88,4.88,4.8,4.82,201985,0.0,1.0
2019-08-16,4.86,4.9,4.82,4.88,269761,0.0,1.0
2019-08-19,5.04,5.04,4.97,4.98,132759,0.0,1.0
2019-08-20,4.93,4.95,4.89,4.89,313266,0.0,1.0
2019-08-21,4.99,5.03,4.97,4.98,65790,0.0,1.0
2019-08-22,5.1,5.11,5.02,5.06,91734,0.0,1.0
2019-08-23,5.04,5.07,4.94,4.94,93501,0.0,1.0
2019-08-26,5.06,5.07,5.02,5.03,126137,0.0,1.0
2019-08-27,5.11,5.13,5.08,5.09,472339,0.0,1.0
2019-08-28,5.17,5.21,5.13,5.16,107601,0.0,1.0
2019-08-29,5.38,5.38,5.25,5.28,155349,0.0,1.0
2019-08-30,5.32,5.32,5.25,5.27,113057,0.0,1.0
2019-09-03,5.29,5.34,5.26,5.34,110039,0.0,1.0
2019-09-04,5.42,5.44,5.37,5.37,92292,0.0,1.0
2019-09-05,5.43,5.44,5.35,5.35,46116,0.0,1.0
2019-09-06,5.44,5.46,5.41,5.41,52008,0.0,1.0
2019-09-09,5.47,5.49,5.44,5.49,175031,0.0,1.0
2019-09-10,5.49,5.54,5.49,5.5,53617,0.0,1.0
2019-09-11,5.52,5.56,5.52,5.53,47809,0.0,1.0
2019-09-12,5.6,5.67,5.59,5.61,42468,0.0,1.0
2019-09-13,5.73,5.74,5.69,5.69,56986,0.0,1.0
2019-09-16,5.68,5.68,5.6,5.61,71684,0.0,1.0
2019-09-17,5.54,5.58,5.53,5.54,39864,0.0,1.0
2019-09-18,5.6,5.63,5.57,5.63,69461,0.0,1.0
2019-09-19,5.74,5.75,5.7,5.7,62686,0.0,1.0
2019-09-20,5.75,5.76,5.66,5.66,55286,0.0,1.0
2019-09-23,5.6,5.6,5.57,5.57,55649,0.0,1.0
2019-09-24,5.61,5.62,5.56,5.56,70800,0.0,1.0
2019-09-25,5.55,5.63,5.54,5.61,150327,0.0,1.0
2019-09-26,5.6,5.62,5.51,5.53,62301,0.0,1.0
2019-09-27,5.59,5.63,5.59,5.6,65580,0.0,1.0
2019-09-30,5.62,5.68,5.62,5.63,403567,0.0,1.0
2019-10-01,5.69,5.7,5.62,5.64,114781,0.0,1.0
2019-10-02,5.44,5.47,5.34,5.34,62130,0.0,1.0
2019-10-03,5.41,5.45,5.36,5.45,101087,0.0,1.0
2019-10-04,5.35,5.45,5.35,5.41,75172,0.0,1.0
2019-10-07,5.49,5.51,5.46,5.5,20732,0.0,1.0
2019-10-08,5.46,5.64,5.43,5.53,141549,0.0,1.0
2019-10-09,5.65,5.7,5.64,5.66,48167,0.0,1.0
2019-10-10,5.76,5.88,5.75,5.83,527475,0.0,1.0
2019-10-11,5.9,5.93,5.86,5.91,122051,0.0,1.0
2019-10-14,5.86,5.89,5.83,5.83,39691,0.0,1.0
2019-10-15,5.82,5.94,5.82,5.9,20277,0.0,1.0
2019-10-16,5.93,5.95,5.91,5.91,34463,0.0,1.0
2019-10-17,5.99,6.0,5.93,5.97,41377,0.0,1.0
2019-10-18,5.95,5.99,5.89,5.92,68730,0.0,1.0
2019-10-21,5.99,5.99,5.93,5.98,68103,0.0,1.0
2019-10-22,5.96,5.98,5.91,5.95,26936,0.0,1.0
2019-10-23,5.95,5.95,5.9,5.95,41171,0.0,1.0
2019-10-24,5.9,5.9,5.83,5.85,41083,0.0,1.0
2019-10-25,5.87,5.89,5.85,5.89,31165,0.0,1.0
2019-10-28,5.86,5.9,5.86,5.88,35128,0.0,1.0
2019-10-29,5.82,5.86,5.82,5.82,19494,0.0,1.0
2019-10-30,5.8,5.83,5.75,5.76,37907,0.0,1.0
2019-10-31,5.76,5.82,5.74,5.78,146284,0.0,1.0
2019-11-01,5.78,5.84,5.77,5.8,73190,0.0,1.0
2019-11-04,5.85,5.89,5.83,5.86,282464,0.0,1.0
2019-11-05,5.79,5.8,5.75,5.75,65569,0.0,1.0
2019-11-06,5.81,5.82,5.75,5.75,41337,0.0,1.0
2019-11-07,5.76,5.85,5.75,5.8,39435,0.0,1.0
2019-11-08,5.93,5.93,5.87,5.89,51497,0.0,1.0
2019-11-11,5.79,5.83,5.76,5.78,21733,0.0,1.0
2019-11-12,5.82,5.88,5.82,5.82,27634,0.0,1.0
2019-11-13,5.82,5.86,5.81,5.81,44268,0.0,1.0
2019-11-14,5.95,5.96,5.88,5.9,115506,0.0,1.0
2019-11-15,5.95,5.99,5.94,5.94,111857,0.0,1.0
