date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-01-21,73.0,74.25,73.0,74.0,26071,0.0,1.0
2009-01-22,73.0,74.25,73.0,74.0,0,0.0,1.0
2009-01-23,73.0,74.25,73.0,74.0,0,0.0,1.0
2009-01-26,66.3,66.3,66.2,66.2,775,0.0,1.0
2009-01-27,66.3,66.3,66.2,66.2,0,0.0,1.0
2009-01-28,66.3,66.3,66.2,66.2,0,0.0,1.0
2009-01-29,66.3,66.3,66.2,66.2,0,0.0,1.0
2009-01-30,66.3,66.3,66.2,66.2,0,0.0,1.0
2009-02-02,66.3,66.3,66.2,66.2,0,0.0,1.0
2009-02-03,66.2,79.0,66.2,79.0,855,0.0,1.0
2009-02-04,76.0,76.0,76.0,76.0,200,0.0,1.0
2009-02-05,75.72,76.0,74.3,75.0,16930,0.0,1.0
2009-02-06,75.5,80.55,75.5,80.5,7744,0.0,1.0
2009-02-09,77.1,78.4,76.95,78.4,10910,0.0,1.0
2009-02-10,77.1,78.4,76.95,78.4,0,0.0,1.0
2009-02-11,77.15,77.15,77.15,77.15,325,0.0,1.0
2009-02-12,77.0,77.0,77.0,77.0,205,0.0,1.0
2009-02-13,75.4,75.4,75.4,75.4,100,0.0,1.0
2009-02-17,75.4,75.4,75.4,75.4,0,0.0,1.0
2009-02-18,77.15,77.15,77.15,77.15,100,0.0,1.0
2009-02-19,66.0,77.15,66.0,77.15,17054,0.0,1.0
2009-02-20,66.8,66.8,66.05,66.05,8825,0.0,1.0
2009-02-23,66.5,69.0,66.5,69.0,251,0.0,1.0
2009-02-24,66.5,69.0,66.5,69.0,0,0.0,1.0
2009-02-25,68.6,68.6,68.27,68.6,755,0.0,1.0
2009-02-26,68.6,68.6,68.27,68.6,0,0.0,1.0
2009-02-27,68.6,68.6,68.27,68.6,0,0.0,1.0
2009-03-02,65.75,65.75,65.75,65.75,200,0.0,1.0
2009-03-03,66.25,66.25,63.0,63.0,430,0.0,1.0
2009-03-04,66.25,66.25,63.0,63.0,0,0.0,1.0
2009-03-05,66.25,66.25,63.0,63.0,0,0.0,1.0
2009-03-06,63.2,63.2,62.5,62.5,460,0.0,1.0
2009-03-09,59.0,59.0,59.0,59.0,235,0.0,1.0
2009-03-10,59.0,59.0,59.0,59.0,0,0.0,1.0
2009-03-11,59.0,59.0,59.0,59.0,0,0.0,1.0
2009-03-12,59.0,59.0,59.0,59.0,0,0.0,1.0
2009-03-13,71.6,71.6,71.6,71.6,190,0.0,1.0
2009-03-16,71.6,71.6,71.6,71.6,0,0.0,1.0
2009-03-17,71.6,71.6,71.6,71.6,0,0.0,1.0
2009-03-18,77.45,77.45,77.45,77.45,101,0.0,1.0
2009-03-19,80.5,80.5,80.5,80.5,125,0.0,1.0
2009-03-20,80.5,80.5,80.5,80.5,0,0.0,1.0
2009-03-23,78.0,78.0,78.0,78.0,203,0.0,1.0
2009-03-24,80.0,83.35,80.0,83.35,690,0.0,1.0
2009-03-25,80.0,83.35,80.0,83.35,0,0.0,1.0
2009-03-26,80.0,83.35,80.0,83.35,0,0.0,1.0
2009-03-27,80.0,83.35,80.0,83.35,0,0.0,1.0
2009-03-30,80.0,83.35,80.0,83.35,0,0.0,1.0
2009-03-31,80.0,83.35,80.0,83.35,0,0.0,1.0
2009-04-01,80.0,83.35,80.0,83.35,0,0.0,1.0
2009-04-02,84.8,84.8,84.8,84.8,215,0.0,1.0
2009-04-03,84.0,84.0,84.0,84.0,145,0.0,1.0
2009-04-06,84.0,84.0,84.0,84.0,0,0.0,1.0
2009-04-07,82.5,82.5,82.5,82.5,110,0.0,1.0
2009-04-08,82.5,82.5,82.5,82.5,0,0.0,1.0
2009-04-09,83.45,83.45,83.45,83.45,105,0.0,1.0
2009-04-13,82.5,82.5,82.5,82.5,195,0.0,1.0
2009-04-14,82.5,82.5,82.5,82.5,0,0.0,1.0
2009-04-15,82.5,82.5,82.5,82.5,0,0.0,1.0
2009-04-16,80.5,80.5,80.5,80.5,200,0.0,1.0
