date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,17.75,18.25,17.75,18.12,486200,0.0,1.0
1999-11-02,18.12,18.75,18.0,18.62,467000,0.0,1.0
1999-11-03,19.0,19.12,18.75,18.88,320200,0.0,1.0
1999-11-04,19.12,19.38,19.0,19.12,213800,0.0,1.0
1999-11-05,19.38,19.75,19.12,19.12,655200,0.0,1.0
1999-11-08,19.19,19.56,19.12,19.44,153800,0.0,1.0
1999-11-09,19.38,19.38,18.12,18.81,164000,0.0,1.0
1999-11-10,18.81,18.81,18.0,18.0,169600,0.0,1.0
1999-11-11,18.0,18.5,17.88,18.38,175600,0.0,1.0
1999-11-12,18.5,18.62,18.19,18.5,139400,0.0,1.0
1999-11-15,18.5,18.94,18.5,18.94,190800,0.0,1.0
1999-11-16,18.88,19.62,18.88,19.62,123600,0.0,1.0
1999-11-17,19.62,19.62,19.06,19.12,151600,0.0,1.0
1999-11-18,19.25,19.25,18.5,18.88,113400,0.0,1.0
1999-11-19,18.94,18.94,18.12,18.38,176200,0.0,1.0
1999-11-22,18.12,18.69,18.12,18.56,147400,0.0,1.0
1999-11-23,18.5,18.56,18.06,18.25,175400,0.0,1.0
1999-11-24,18.0,18.19,17.75,17.88,281200,0.0,1.0
1999-11-26,18.0,18.25,17.94,18.0,86800,0.0,1.0
1999-11-29,18.0,18.25,17.69,18.0,98000,0.0,1.0
1999-11-30,17.94,18.19,17.81,17.88,144600,0.0,1.0
1999-12-01,18.0,18.0,17.75,17.94,234000,0.0,1.0
1999-12-02,17.88,18.25,17.5,17.62,241400,0.0,1.0
1999-12-03,17.75,18.19,17.75,18.06,146000,0.0,1.0
1999-12-06,17.94,18.0,17.62,17.75,138000,0.0,1.0
1999-12-07,17.62,17.75,17.31,17.5,150200,0.0,1.0
1999-12-08,17.75,17.81,16.88,16.94,258800,0.0,1.0
1999-12-09,16.94,16.94,16.25,16.25,286400,0.0,1.0
1999-12-10,16.5,17.38,16.44,17.38,228200,0.0,1.0
1999-12-13,17.5,17.5,16.56,16.62,204400,0.0,1.0
1999-12-14,16.56,16.69,16.38,16.38,247600,0.0,1.0
1999-12-15,16.5,16.69,16.25,16.38,445200,0.0,1.0
1999-12-16,16.5,16.81,16.12,16.31,593800,0.0,1.0
1999-12-17,17.25,17.88,16.75,16.88,604200,0.0,1.0
1999-12-20,17.0,17.75,17.0,17.5,375400,0.0,1.0
1999-12-21,17.5,17.56,17.25,17.31,194600,0.0,1.0
1999-12-22,17.31,17.44,17.25,17.38,176600,0.0,1.0
1999-12-23,17.38,18.12,17.38,17.88,255400,0.0,1.0
1999-12-27,18.12,18.12,17.44,17.62,214200,0.0,1.0
1999-12-28,17.75,18.44,17.62,17.94,266400,0.0,1.0
1999-12-29,18.25,18.44,18.06,18.06,177000,0.0,1.0
1999-12-30,18.06,18.69,18.06,18.69,153600,0.0,1.0
1999-12-31,18.5,18.62,18.25,18.62,82400,0.0,1.0
2000-01-03,18.62,18.75,18.25,18.31,251000,0.0,1.0
2000-01-04,18.06,18.31,17.5,17.62,166000,0.0,1.0
2000-01-05,17.69,18.38,17.69,18.0,109800,0.0,1.0
2000-01-06,17.75,17.94,17.38,17.56,105000,0.0,1.0
2000-01-07,17.62,17.94,17.56,17.88,133800,0.0,1.0
2000-01-10,17.88,18.25,17.25,18.25,254600,0.0,1.0
2000-01-11,18.5,18.5,17.31,17.69,180000,0.0,1.0
2000-01-12,17.88,17.88,17.06,17.06,126600,0.0,1.0
2000-01-13,17.25,18.0,17.12,18.0,111000,0.0,1.0
2000-01-14,18.25,18.62,18.25,18.5,246800,0.0,1.0
2000-01-18,18.69,18.81,18.44,18.56,223200,0.0,1.0
2000-01-19,18.75,18.94,18.75,18.88,143800,0.0,1.0
2000-01-20,18.75,18.94,18.31,18.38,217600,0.0,1.0
2000-01-21,18.88,18.88,17.88,17.88,201200,0.0,1.0
2000-01-24,17.88,18.19,17.25,17.5,251200,0.0,1.0
2000-01-25,17.75,17.81,16.88,17.12,196000,0.0,1.0
2000-01-26,17.25,17.25,16.94,17.12,99000,0.0,1.0
2000-01-27,17.06,17.5,17.06,17.5,87400,0.0,1.0
2000-01-28,17.62,17.62,17.12,17.5,149400,0.0,1.0
2000-01-31,17.38,17.62,17.0,17.0,171200,0.0,1.0
2000-02-01,17.06,17.12,16.56,17.0,190400,0.0,1.0
2000-02-02,17.25,17.25,16.5,16.56,209000,0.0,1.0
2000-02-03,16.75,16.88,16.5,16.81,162200,0.0,1.0
2000-02-04,16.75,16.94,16.75,16.81,122200,0.0,1.0
2000-02-07,17.38,17.56,17.06,17.06,465600,0.0,1.0
2000-02-08,17.38,17.44,17.0,17.0,331600,0.0,1.0
2000-02-09,17.06,17.25,16.81,16.81,187800,0.0,1.0
2000-02-10,16.62,16.88,16.56,16.75,282000,0.0,1.0
2000-02-11,16.62,16.81,16.19,16.38,290200,0.0,1.0
2000-02-14,16.38,16.38,16.0,16.12,149800,0.0,1.0
2000-02-15,16.38,16.5,16.19,16.38,269800,0.0,1.0
2000-02-16,16.44,16.62,16.38,16.5,141000,0.0,1.0
2000-02-17,16.88,17.38,16.44,17.38,247000,0.0,1.0
2000-02-18,17.38,17.5,17.0,17.06,235200,0.0,1.0
2000-02-22,16.94,17.44,16.94,17.06,236600,0.0,1.0
2000-02-23,17.19,17.44,16.88,17.31,284200,0.0,1.0
2000-02-24,17.38,17.38,16.75,16.81,177800,0.0,1.0
2000-02-25,16.94,17.0,16.62,16.62,309600,0.0,1.0
2000-02-28,16.5,16.62,16.25,16.44,196000,0.0,1.0
2000-02-29,16.5,16.69,16.38,16.62,173400,0.0,1.0
2000-03-01,16.56,18.38,16.56,17.81,384200,0.0,1.0
2000-03-02,17.75,18.38,17.75,18.12,235000,0.0,1.0
2000-03-03,18.25,18.75,18.12,18.19,286400,0.0,1.0
2000-03-06,18.0,18.25,17.38,17.5,193000,0.0,1.0
2000-03-07,17.62,17.62,17.0,17.06,178400,0.0,1.0
2000-03-08,17.19,17.25,16.75,16.88,110400,0.0,1.0
2000-03-09,16.88,17.38,15.81,17.38,62200,0.0,1.0
2000-03-10,17.38,17.5,17.25,17.25,69400,0.0,1.0
2000-03-13,16.75,17.0,16.75,16.81,170400,0.0,1.0
2000-03-14,17.06,17.5,16.88,16.88,312000,0.0,1.0
2000-03-15,17.0,17.75,17.0,17.38,168000,0.0,1.0
2000-03-16,17.38,18.25,17.31,18.25,1158400,0.0,1.0
2000-03-17,18.19,18.81,18.06,18.62,222600,0.0,1.0
2000-03-20,18.88,19.0,18.5,18.62,147800,0.0,1.0
2000-03-21,18.5,19.0,18.5,19.0,156600,0.0,1.0
2000-03-22,19.0,19.0,18.5,18.56,519400,0.0,1.0
2000-03-23,19.12,22.0,18.75,21.38,777400,0.0,1.0
2000-03-24,21.38,21.44,20.19,20.38,284800,0.0,1.0
2000-03-27,20.38,20.94,20.19,20.31,162400,0.0,1.0
2000-03-28,20.31,20.31,19.88,19.88,140000,0.0,1.0
2000-03-29,19.75,20.56,19.75,20.56,99000,0.0,1.0
2000-03-30,20.75,21.38,20.31,21.0,342600,0.0,1.0
2000-03-31,21.0,21.31,20.0,20.0,618000,0.0,1.0
2000-04-03,19.75,20.88,19.75,20.88,152000,0.0,1.0
2000-04-04,20.75,21.31,20.31,21.0,413400,0.0,1.0
2000-04-05,21.0,21.5,20.88,21.38,137000,0.0,1.0
2000-04-06,21.38,21.88,21.38,21.75,144000,0.0,1.0
2000-04-07,21.75,22.19,21.69,21.88,237800,0.0,1.0
2000-04-10,22.0,22.31,21.88,22.25,183000,0.0,1.0
2000-04-11,22.25,22.5,22.06,22.44,132400,0.0,1.0
2000-04-12,22.5,22.88,22.5,22.75,149600,0.0,1.0
2000-04-13,23.0,23.06,22.47,23.0,170200,0.0,1.0
2000-04-14,22.94,22.94,20.75,21.62,437600,0.0,1.0
2000-04-17,21.38,21.44,21.0,21.31,254000,0.0,1.0
2000-04-18,21.31,22.25,20.88,22.25,207800,0.0,1.0
2000-04-19,22.12,22.44,21.75,22.38,226400,0.0,1.0
2000-04-20,22.38,22.62,21.62,22.38,198200,0.0,1.0
2000-04-24,22.38,22.75,21.78,22.62,105400,0.0,1.0
2000-04-25,22.5,22.75,21.31,21.75,242000,0.0,1.0
2000-04-26,21.69,22.0,21.62,21.69,169600,0.0,1.0
2000-04-27,21.69,22.0,21.56,21.62,118400,0.0,1.0
2000-04-28,21.38,21.81,21.0,21.69,136800,0.0,1.0
2000-05-01,21.62,21.81,21.31,21.5,371000,0.0,1.0
2000-05-02,21.5,21.5,20.94,21.25,209000,0.0,1.0
2000-05-03,21.19,21.25,20.75,20.94,117200,0.0,1.0
2000-05-04,20.88,20.88,20.38,20.75,69600,0.0,1.0
2000-05-05,20.75,21.5,20.62,21.5,255400,0.0,1.0
2000-05-08,21.38,21.38,20.69,21.06,109600,0.0,1.0
2000-05-09,21.0,21.12,20.88,21.06,78800,0.0,1.0
2000-05-10,21.0,21.06,20.69,20.75,94600,0.0,1.0
2000-05-11,20.62,21.12,20.5,20.94,79600,0.0,1.0
2000-05-12,20.94,21.69,20.94,21.62,164600,0.0,1.0
2000-05-15,21.62,21.69,21.19,21.5,111800,0.0,1.0
2000-05-16,21.56,21.88,21.38,21.69,157800,0.0,1.0
2000-05-17,21.44,21.44,20.88,21.31,144600,0.0,1.0
2000-05-18,21.19,21.19,20.25,20.38,162600,0.0,1.0
2000-05-19,20.12,20.12,19.44,19.56,171200,0.0,1.0
2000-05-22,19.62,19.62,19.0,19.31,153200,0.0,1.0
2000-05-23,19.31,19.38,18.75,18.88,218600,0.0,1.0
2000-05-24,19.0,19.0,18.44,18.69,200600,0.0,1.0
2000-05-25,18.62,19.12,18.62,18.94,183200,0.0,1.0
2000-05-26,18.94,19.06,18.81,18.94,111600,0.0,1.0
2000-05-30,18.81,19.12,18.38,19.06,312000,0.0,1.0
2000-05-31,19.06,19.5,19.0,19.38,125200,0.0,1.0
2000-06-01,19.44,19.62,19.38,19.38,94800,0.0,1.0
2000-06-02,19.88,20.25,19.81,20.06,208200,0.0,1.0
2000-06-05,20.0,20.75,19.88,20.75,425800,0.0,1.0
2000-06-06,20.5,20.56,20.31,20.5,87000,0.0,1.0
2000-06-07,20.5,20.56,20.31,20.44,101200,0.0,1.0
2000-06-08,20.38,20.56,20.25,20.5,55000,0.0,1.0
2000-06-09,20.56,20.88,20.56,20.75,61200,0.0,1.0
2000-06-12,20.75,20.88,20.75,20.75,117800,0.0,1.0
