date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,63.05,63.05,63.05,63.05,400,0.0,1.0
2007-07-16,62.6,63.25,62.6,62.6,900,0.0,1.0
2007-07-17,61.35,62.15,61.35,61.35,800,0.0,1.0
2007-07-18,61.15,61.15,61.15,61.15,900,0.0,1.0
2007-07-19,61.15,61.15,61.15,61.15,0,0.0,1.0
2007-07-20,63.0,63.0,63.0,63.0,1350,0.0,1.0
2007-07-23,63.0,63.0,63.0,63.0,0,0.0,1.0
2007-07-24,61.7,61.7,61.7,61.7,300,0.0,1.0
2007-07-25,61.95,61.95,61.95,61.95,100,0.0,1.0
2007-07-26,61.95,61.95,61.95,61.95,0,0.0,1.0
2007-07-27,61.25,61.25,61.25,61.25,300,0.0,1.0
2007-07-30,61.65,61.65,61.65,61.65,200,0.0,1.0
2007-07-31,60.3,60.8,60.3,60.3,700,0.0,1.0
2007-08-01,60.35,60.35,60.35,60.35,100,0.0,1.0
2007-08-02,59.05,59.75,59.05,59.05,200,0.0,1.0
2007-08-03,59.05,59.75,59.05,59.05,0,0.0,1.0
2007-08-06,59.05,59.75,59.05,59.05,0,0.0,1.0
2007-08-07,60.9,60.9,60.9,60.9,3000,0.0,1.0
2007-08-08,61.65,61.65,61.65,61.65,100,0.0,1.0
2007-08-09,60.1,62.0,60.1,60.1,620,0.0,1.0
2007-08-10,59.75,60.25,59.75,59.75,727,0.0,1.0
2007-08-13,59.75,60.25,59.75,59.75,0,0.0,1.0
2007-08-14,58.75,58.75,58.75,58.75,200,0.0,1.0
2007-08-15,58.25,59.0,58.25,58.25,2343,0.0,1.0
2007-08-16,58.3,58.3,58.3,58.3,400,0.0,1.0
2007-08-17,54.4,54.4,54.4,54.4,40100,0.0,1.0
2007-08-20,56.3,58.25,56.3,56.3,900,0.0,1.0
2007-08-21,57.75,58.0,57.75,57.75,500,0.0,1.0
2007-08-22,57.5,57.5,57.5,57.5,100,0.0,1.0
2007-08-23,57.5,57.5,57.5,57.5,0,0.0,1.0
2007-08-24,57.5,57.5,57.5,57.5,0,0.0,1.0
2007-08-27,57.5,57.5,57.5,57.5,0,0.0,1.0
2007-08-28,57.5,57.5,57.5,57.5,0,0.0,1.0
2007-08-29,56.75,56.75,56.75,56.75,2022,0.0,1.0
2007-08-30,56.5,56.7,56.5,56.5,500,0.0,1.0
2007-08-31,57.6,57.6,57.6,57.6,500,0.0,1.0
2007-09-04,58.0,58.0,58.0,58.0,100,0.0,1.0
2007-09-05,57.9,58.0,57.9,57.9,1248,0.0,1.0
2007-09-06,58.1,58.1,58.1,58.1,300,0.0,1.0
2007-09-07,57.65,57.65,57.65,57.65,800,0.0,1.0
2007-09-10,56.3,56.3,56.3,56.3,400,0.0,1.0
2007-09-11,56.3,56.3,56.3,56.3,0,0.0,1.0
2007-09-12,56.75,56.75,56.75,56.75,15500,0.0,1.0
2007-09-13,55.8,55.8,55.8,55.8,900,0.0,1.0
2007-09-14,55.8,55.8,55.8,55.8,0,0.0,1.0
2007-09-17,56.25,56.25,56.25,56.25,100,0.0,1.0
2007-09-18,55.35,55.35,55.35,55.35,300,0.0,1.0
2007-09-19,57.1,58.25,57.1,57.1,930,0.0,1.0
2007-09-20,57.35,58.25,57.35,57.35,400,0.0,1.0
2007-09-21,56.75,57.75,56.75,56.75,900,0.0,1.0
2007-09-24,56.75,57.5,56.75,56.75,483,0.0,1.0
2007-09-25,57.85,57.85,57.85,57.85,100,0.0,1.0
2007-09-26,57.85,57.85,57.85,57.85,0,0.0,1.0
2007-09-27,57.85,57.85,57.85,57.85,0,0.0,1.0
2007-09-28,58.5,58.5,58.5,58.5,200,0.0,1.0
2007-10-01,58.75,59.2,58.75,58.75,701,0.0,1.0
2007-10-02,58.75,58.85,58.75,58.75,300,0.0,1.0
2007-10-03,58.95,58.95,58.95,58.95,400,0.0,1.0
2007-10-04,58.95,58.95,58.95,58.95,100,0.0,1.0
2007-10-05,58.5,59.0,58.5,58.5,1837,0.0,1.0
2007-10-08,58.5,59.0,58.5,58.5,0,0.0,1.0
2007-10-09,57.5,57.5,57.5,57.5,100,0.0,1.0
2007-10-10,57.25,57.25,57.25,57.25,400,0.0,1.0
2007-10-11,56.8,57.0,56.8,56.8,400,0.0,1.0
2007-10-12,55.75,55.75,55.75,55.75,300,0.0,1.0
2007-10-15,54.5,54.5,54.5,54.5,400,0.0,1.0
2007-10-16,54.75,55.0,54.75,54.75,1500,0.0,1.0
2007-10-17,54.75,55.0,54.75,54.75,0,0.0,1.0
