date,open_price,high_price,low_price,close_price,volume,dividend,split
2003-12-18,14.0,15.66,14.0,15.5,7715400,0.0,1.0
2003-12-19,15.2,15.9,15.0,15.25,1015100,0.0,1.0
2003-12-22,15.2,15.51,15.15,15.36,233100,0.0,1.0
2003-12-23,15.32,15.45,15.1,15.24,238300,0.0,1.0
2003-12-24,15.0,15.0,14.45,14.9,146400,0.0,1.0
2003-12-26,14.9,14.91,14.7,14.74,241000,0.0,1.0
2003-12-29,14.7,14.9,14.65,14.75,248500,0.0,1.0
2003-12-30,14.75,15.17,14.75,15.09,320800,0.0,1.0
2003-12-31,15.05,15.5,14.99,15.5,442400,0.0,1.0
2004-01-02,15.4,15.99,15.4,15.75,180000,0.0,1.0
2004-01-05,16.0,16.25,15.8,16.15,305000,0.0,1.0
2004-01-06,16.19,17.32,16.15,16.54,209800,0.0,1.0
2004-01-07,16.55,16.96,16.35,16.62,269400,0.0,1.0
2004-01-08,16.67,17.0,16.66,16.75,96200,0.0,1.0
2004-01-09,16.57,17.3,16.4,16.88,837600,0.0,1.0
2004-01-12,16.91,17.6,16.84,17.4,172000,0.0,1.0
2004-01-13,17.41,17.8,17.41,17.76,84500,0.0,1.0
2004-01-14,17.77,17.77,17.56,17.63,124700,0.0,1.0
2004-01-15,17.57,18.18,17.56,17.9,45000,0.0,1.0
2004-01-16,17.98,18.0,17.35,17.35,103900,0.0,1.0
2004-01-20,16.62,16.83,16.11,16.2,473100,0.0,1.0
2004-01-21,15.6,16.32,15.6,16.0,297200,0.0,1.0
2004-01-22,16.05,16.45,16.05,16.38,207500,0.0,1.0
2004-01-23,16.39,17.21,16.39,17.07,549000,0.0,1.0
2004-01-26,16.95,17.32,16.93,17.32,136200,0.0,1.0
2004-01-27,17.32,17.4,17.1,17.25,350100,0.0,1.0
2004-01-28,17.3,17.38,17.0,17.0,133000,0.0,1.0
2004-01-29,17.0,17.11,16.15,16.34,257200,0.0,1.0
2004-01-30,16.3,16.31,15.75,16.2,276900,0.0,1.0
2004-02-02,16.32,17.28,16.18,17.09,116000,0.0,1.0
2004-02-03,17.0,17.0,16.9,17.0,91800,0.0,1.0
2004-02-04,16.98,17.57,16.6,17.35,219500,0.0,1.0
2004-02-05,17.3,17.3,16.79,16.83,75700,0.0,1.0
2004-02-06,16.7,17.1,16.6,17.07,97900,0.0,1.0
2004-02-09,17.07,17.2,17.07,17.17,77200,0.0,1.0
2004-02-10,17.19,17.25,16.75,17.0,136000,0.0,1.0
2004-02-11,17.0,17.0,16.65,17.0,182300,0.0,1.0
2004-02-12,17.0,17.23,16.76,17.1,146000,0.0,1.0
2004-02-13,17.1,17.1,16.15,16.6,219600,0.0,1.0
2004-02-17,16.65,16.65,16.28,16.5,74900,0.0,1.0
2004-02-18,16.6,16.6,16.2,16.44,71900,0.0,1.0
2004-02-19,16.47,16.6,16.15,16.25,26100,0.0,1.0
2004-02-20,16.4,16.4,16.0,16.25,82800,0.0,1.0
2004-02-23,16.25,16.45,16.07,16.45,80900,0.0,1.0
2004-02-24,16.45,16.47,16.05,16.14,57400,0.0,1.0
2004-02-25,16.14,16.14,15.8,15.86,51200,0.0,1.0
2004-02-26,15.8,16.35,15.7,16.3,97700,0.0,1.0
2004-02-27,16.3,16.62,16.3,16.6,131500,0.0,1.0
2004-03-01,16.36,16.72,16.2,16.59,70900,0.0,1.0
2004-03-02,16.65,16.73,16.48,16.64,29800,0.0,1.0
2004-03-03,16.64,16.85,16.53,16.79,227300,0.0,1.0
2004-03-04,16.8,16.85,16.67,16.71,125500,0.0,1.0
2004-03-05,16.75,16.76,16.4,16.66,25000,0.0,1.0
2004-03-08,16.66,16.78,16.4,16.6,39400,0.0,1.0
2004-03-09,16.42,16.5,16.35,16.42,24000,0.0,1.0
2004-03-10,16.43,16.5,16.27,16.39,91500,0.0,1.0
2004-03-11,16.3,16.3,14.85,15.3,440800,0.0,1.0
2004-03-12,15.36,15.59,15.11,15.35,263400,0.0,1.0
2004-03-15,15.35,15.48,15.25,15.48,39300,0.0,1.0
2004-03-16,15.4,15.45,15.2,15.4,73300,0.0,1.0
2004-03-17,15.4,15.78,15.2,15.58,71600,0.0,1.0
2004-03-18,15.58,15.81,15.5,15.7,41900,0.0,1.0
2004-03-19,15.7,15.7,15.55,15.55,25000,0.0,1.0
2004-03-22,15.68,15.85,15.39,15.8,92700,0.0,1.0
2004-03-23,15.86,16.12,15.78,15.93,81200,0.0,1.0
2004-03-24,15.99,16.34,15.99,16.2,128200,0.0,1.0
2004-03-25,15.6,16.17,15.6,16.1,181100,0.0,1.0
2004-03-26,15.6,16.0,15.6,15.99,58000,0.0,1.0
2004-03-29,15.95,16.0,15.89,15.95,72200,0.0,1.0
2004-03-30,15.95,15.95,15.88,15.91,28300,0.0,1.0
2004-03-31,15.91,15.91,15.6,15.64,91000,0.0,1.0
2004-04-01,15.74,15.74,14.55,15.41,123700,0.0,1.0
2004-04-02,15.5,15.5,15.1,15.25,106500,0.0,1.0
2004-04-05,15.32,15.32,15.02,15.18,144700,0.0,1.0
2004-04-06,15.17,15.25,15.07,15.15,52000,0.0,1.0
