date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,16.06,16.63,16.0,16.63,199400,0.0,1.0
1999-11-02,16.56,16.81,16.19,16.5,149467,0.0,1.0
1999-11-03,16.25,16.5,16.13,16.38,71867,0.0,1.0
1999-11-04,16.25,16.75,16.25,16.25,626067,0.0,1.0
1999-11-05,16.25,17.0,16.25,16.63,122000,0.0,1.0
1999-11-08,16.81,16.81,16.5,16.75,226200,0.0,1.0
1999-11-09,16.88,16.88,16.38,16.38,123867,0.0,1.0
1999-11-10,16.44,17.88,16.38,17.5,220400,0.0,1.0
1999-11-11,17.75,17.75,17.44,17.75,77000,0.0,1.0
1999-11-12,17.69,18.0,17.25,17.63,50267,0.0,1.0
1999-11-15,17.63,17.94,17.31,17.41,64000,0.0,1.0
1999-11-16,17.25,18.19,17.25,18.0,163267,0.0,1.0
1999-11-17,18.28,18.63,16.0,17.75,299600,0.0,1.0
1999-11-18,17.25,18.38,17.13,17.75,105200,0.0,1.0
1999-11-19,18.0,18.5,17.63,17.63,56467,0.0,1.0
1999-11-22,18.41,18.5,17.13,17.13,190067,0.0,1.0
1999-11-23,17.06,17.38,16.88,16.88,275467,0.0,1.0
1999-11-24,16.88,17.13,15.5,16.63,154600,0.0,1.0
1999-11-26,16.81,17.0,16.5,16.69,41600,0.0,1.0
1999-11-29,16.81,17.0,16.25,16.63,61600,0.0,1.0
1999-11-30,16.25,16.88,15.88,16.88,70067,0.0,1.0
1999-12-01,16.63,16.75,16.0,16.25,45867,0.0,1.0
1999-12-02,16.06,16.88,16.06,16.25,38000,0.0,1.0
1999-12-03,16.25,16.88,16.19,16.69,78667,0.0,1.0
1999-12-06,16.38,16.75,16.0,16.06,65800,0.0,1.0
1999-12-07,16.16,16.31,16.0,16.25,54400,0.0,1.0
1999-12-08,16.0,16.5,16.0,16.38,76000,0.0,1.0
1999-12-09,16.5,16.5,15.5,15.75,90667,0.0,1.0
1999-12-10,15.88,17.88,15.88,17.75,242400,0.0,1.0
1999-12-13,18.56,18.63,17.94,18.44,233800,0.0,1.0
1999-12-14,18.59,18.75,18.13,18.25,235267,0.0,1.0
1999-12-15,18.19,19.44,18.13,19.44,322600,0.0,1.0
1999-12-16,19.38,20.0,19.0,19.31,208800,0.0,1.0
1999-12-17,19.38,19.75,18.25,18.5,215467,0.0,1.0
1999-12-20,17.88,20.0,17.5,19.13,241200,0.0,1.0
1999-12-21,19.56,20.94,19.25,20.94,805400,0.0,1.0
1999-12-22,20.94,22.44,19.75,21.94,426600,0.0,1.0
1999-12-23,22.13,23.13,21.38,21.75,336667,0.0,1.0
1999-12-27,22.38,22.75,21.25,21.63,231467,0.0,1.0
1999-12-28,21.06,22.5,20.5,22.5,103267,0.0,1.0
1999-12-29,22.5,22.63,18.13,19.0,228400,0.0,1.0
1999-12-30,20.38,21.38,20.0,20.63,156267,0.0,1.0
1999-12-31,20.63,22.0,19.88,21.63,49467,0.0,1.0
2000-01-03,25.02,26.5,24.5,24.88,1337467,0.0,1.0
2000-01-04,25.25,25.25,23.88,24.44,827200,0.0,1.0
