date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,29.81,30.06,29.81,30.06,163867,0.0,1.0
1999-11-02,29.94,30.5,29.69,30.13,175267,0.0,1.0
1999-11-03,30.19,30.69,30.0,30.69,174067,0.0,1.0
1999-11-04,30.62,30.69,29.5,29.87,96267,0.0,1.0
1999-11-05,29.81,30.44,29.81,30.25,60400,0.0,1.0
1999-11-08,30.0,30.19,29.25,29.38,63400,0.0,1.0
1999-11-09,29.5,29.56,28.75,29.31,101600,0.0,1.0
1999-11-10,29.06,29.12,28.88,29.06,143067,0.0,1.0
1999-11-11,29.0,29.56,29.0,29.5,81200,0.0,1.0
1999-11-12,29.38,29.38,28.75,29.25,141600,0.0,1.0
1999-11-15,29.12,29.69,28.69,29.69,83067,0.0,1.0
1999-11-16,29.69,29.87,29.5,29.5,132200,0.0,1.0
1999-11-17,29.5,29.69,29.19,29.25,80800,0.0,1.0
1999-11-18,29.12,29.5,29.0,29.5,102000,0.0,1.0
1999-11-19,29.69,29.69,28.5,28.81,232267,0.0,1.0
1999-11-22,28.69,28.75,28.5,28.75,138400,0.0,1.0
1999-11-23,28.69,28.75,28.31,28.69,205867,0.0,1.0
1999-11-24,28.69,28.75,28.56,28.75,218467,0.0,1.0
1999-11-26,28.69,28.69,28.56,28.63,92400,0.0,1.0
1999-11-29,28.63,28.75,28.37,28.44,179667,0.0,1.0
1999-11-30,28.5,29.25,28.44,29.25,280800,0.0,1.0
1999-12-01,29.12,29.44,28.25,28.5,128800,0.0,1.0
1999-12-02,28.37,29.06,28.37,28.94,160200,0.0,1.0
1999-12-03,28.88,29.69,28.75,29.56,203800,0.0,1.0
1999-12-06,29.44,29.44,29.0,29.0,212867,0.0,1.0
1999-12-07,29.12,29.19,28.75,28.94,126867,0.0,1.0
1999-12-08,28.75,28.88,27.5,27.88,138267,0.0,1.0
1999-12-09,28.0,28.25,27.5,27.94,110400,0.0,1.0
1999-12-10,27.81,27.81,27.62,27.69,89000,0.0,1.0
1999-12-13,27.56,28.12,27.31,28.0,134200,0.0,1.0
1999-12-14,27.75,27.75,27.19,27.25,147600,0.0,1.0
1999-12-15,27.13,27.38,27.0,27.31,169267,0.0,1.0
1999-12-16,27.25,28.06,27.0,27.75,126800,0.0,1.0
1999-12-17,27.69,27.75,26.87,27.19,158400,0.0,1.0
1999-12-20,27.25,27.5,26.87,27.38,225400,0.0,1.0
1999-12-21,27.19,27.19,26.62,26.94,188800,0.0,1.0
1999-12-22,27.06,27.88,27.06,27.31,156467,0.0,1.0
1999-12-23,27.25,27.88,27.25,27.62,127067,0.0,1.0
1999-12-27,27.75,27.81,27.25,27.75,126867,0.0,1.0
1999-12-28,27.69,28.75,27.69,28.06,192267,0.0,1.0
1999-12-29,28.06,28.69,28.0,28.56,81800,0.0,1.0
1999-12-30,28.44,28.5,28.06,28.19,70067,0.0,1.0
1999-12-31,28.31,28.56,28.12,28.44,118000,0.0,1.0
2000-01-03,28.69,28.69,27.44,27.5,219867,0.0,1.0
2000-01-04,27.38,27.5,26.62,26.69,137400,0.0,1.0
2000-01-05,26.44,27.44,26.44,27.19,155467,0.0,1.0
2000-01-06,27.06,27.69,27.0,27.56,104067,0.0,1.0
2000-01-07,27.5,27.56,27.31,27.44,175667,0.0,1.0
2000-01-10,27.5,27.5,26.69,27.19,183400,0.0,1.0
2000-01-11,27.13,27.25,26.75,26.94,139600,0.0,1.0
2000-01-12,26.75,26.87,26.31,26.56,144600,0.18,1.0
2000-01-13,26.5,26.87,26.38,26.38,159800,0.0,1.0
2000-01-14,26.38,26.5,25.63,25.75,273000,0.0,1.0
2000-01-18,25.5,25.75,24.81,25.63,218067,0.0,1.0
2000-01-19,25.56,25.81,25.12,25.37,204800,0.0,1.0
2000-01-20,25.88,26.19,25.0,25.12,277200,0.0,1.0
2000-01-21,25.06,25.12,24.0,24.25,239800,0.0,1.0
2000-01-24,24.25,24.38,23.87,24.31,395400,0.0,1.0
2000-01-25,24.56,24.56,23.44,23.81,324067,0.0,1.0
2000-01-26,24.0,24.19,23.69,24.0,867467,0.0,1.0
2000-01-27,24.0,24.25,23.81,23.81,339400,0.0,1.0
2000-01-28,23.87,24.06,23.5,23.5,213467,0.0,1.0
2000-01-31,23.75,23.75,23.25,23.38,159400,0.0,1.0
2000-02-01,23.38,23.62,23.38,23.44,169467,0.0,1.0
2000-02-02,23.5,24.13,23.31,23.38,335667,0.0,1.0
2000-02-03,23.5,23.69,22.75,22.75,351800,0.0,1.0
2000-02-04,22.88,22.88,22.44,22.69,192200,0.0,1.0
2000-02-07,22.63,23.19,22.5,23.12,304667,0.0,1.0
2000-02-08,23.19,23.56,22.37,22.5,191800,0.0,1.0
2000-02-09,22.5,22.63,21.94,22.0,397200,0.0,1.0
2000-02-10,22.12,22.44,21.88,22.12,388067,0.0,1.0
2000-02-11,22.12,22.12,21.5,21.88,607400,0.0,1.0
2000-02-14,21.88,21.88,21.06,21.81,342200,0.0,1.0
2000-02-15,21.75,22.37,21.62,22.19,521067,0.0,1.0
2000-02-16,22.12,22.44,22.0,22.44,369467,0.0,1.0
2000-02-17,22.37,22.56,21.75,22.0,108467,0.0,1.0
2000-02-18,22.0,22.0,21.5,21.62,144400,0.0,1.0
2000-02-22,21.69,22.37,21.56,22.37,232600,0.0,1.0
2000-02-23,22.44,22.5,22.0,22.25,119467,0.0,1.0
2000-02-24,22.12,22.12,21.31,21.5,275467,0.0,1.0
2000-02-25,21.25,21.88,21.25,21.56,135467,0.0,1.0
2000-02-28,21.75,22.0,21.5,21.75,130067,0.0,1.0
2000-02-29,21.75,22.19,21.5,22.12,106067,0.0,1.0
2000-03-01,22.19,22.19,21.5,21.81,152800,0.0,1.0
2000-03-02,21.75,22.0,21.19,21.25,179867,0.0,1.0
2000-03-03,21.38,22.0,21.38,21.75,198200,0.0,1.0
2000-03-06,21.75,21.75,21.0,21.06,141867,0.0,1.0
2000-03-07,21.06,21.13,20.25,20.81,310400,0.0,1.0
2000-03-08,20.56,21.0,20.38,20.94,287200,0.0,1.0
2000-03-09,20.94,20.94,20.31,20.81,198867,0.0,1.0
2000-03-10,20.75,20.75,19.88,19.88,283600,0.0,1.0
2000-03-13,19.94,20.5,19.81,20.25,300400,0.0,1.0
2000-03-14,20.38,20.38,19.88,19.88,105467,0.0,1.0
2000-03-15,19.88,20.5,19.75,20.25,265667,0.0,1.0
2000-03-16,20.38,23.38,20.38,22.37,332600,0.0,1.0
2000-03-17,22.5,23.25,22.25,22.25,314867,0.0,1.0
2000-03-20,22.5,22.69,22.31,22.37,172200,0.0,1.0
2000-03-21,22.37,23.06,22.25,22.75,182800,0.0,1.0
2000-03-22,22.69,23.12,22.69,23.0,157267,0.0,1.0
2000-03-23,22.94,23.94,22.88,23.12,251400,0.0,1.0
2000-03-24,23.0,23.31,22.63,22.94,295267,0.0,1.0
2000-03-27,22.88,23.0,22.44,22.5,98200,0.0,1.0
2000-03-28,22.0,22.06,21.06,21.19,397200,0.0,1.0
2000-03-29,21.25,21.56,20.87,21.44,312867,0.0,1.0
2000-03-30,21.44,22.5,21.44,21.88,192867,0.0,1.0
2000-03-31,21.94,23.69,21.94,23.69,302867,0.0,1.0
2000-04-03,23.56,23.75,22.25,22.63,232867,0.0,1.0
2000-04-04,22.75,23.81,22.75,22.94,238400,0.0,1.0
2000-04-05,22.88,23.31,22.88,23.06,168467,0.0,1.0
2000-04-06,23.0,23.62,22.69,22.69,162200,0.0,1.0
2000-04-07,22.69,23.0,22.19,22.31,196200,0.0,1.0
2000-04-10,22.69,23.44,22.37,22.37,210267,0.0,1.0
2000-04-11,22.37,23.12,22.37,23.12,142267,0.0,1.0
2000-04-12,23.12,23.25,22.88,23.0,139600,0.18,1.0
2000-04-13,23.12,23.44,23.0,23.06,197800,0.0,1.0
2000-04-14,23.12,23.12,21.81,22.12,204400,0.0,1.0
2000-04-17,22.19,22.56,22.0,22.25,208200,0.0,1.0
2000-04-18,22.12,22.75,21.88,22.75,219267,0.0,1.0
2000-04-19,22.5,22.63,21.94,22.12,142667,0.0,1.0
2000-04-20,22.19,22.31,21.62,22.06,107067,0.0,1.0
2000-04-24,22.0,22.0,21.75,21.75,57200,0.0,1.0
2000-04-25,21.94,22.88,21.69,22.88,140867,0.0,1.0
2000-04-26,22.75,22.94,21.75,21.75,165267,0.0,1.0
2000-04-27,21.81,22.37,21.69,22.37,123867,0.0,1.0
2000-04-28,22.31,22.31,21.94,22.25,74200,0.0,1.0
2000-05-01,22.25,22.25,21.56,22.19,98200,0.0,1.0
2000-05-02,22.19,22.37,21.62,21.69,97800,0.0,1.0
2000-05-03,21.75,21.81,21.5,21.56,124267,0.0,1.0
2000-05-04,21.81,22.12,21.62,22.0,104867,0.0,1.0
2000-05-05,21.94,22.5,21.94,22.19,156667,0.0,1.0
2000-05-08,22.25,23.19,22.25,22.44,131000,0.0,1.0
2000-05-09,22.31,22.88,22.0,22.19,102800,0.0,1.0
2000-05-10,22.12,22.37,21.94,21.94,48667,0.0,1.0
2000-05-11,21.94,22.88,21.94,22.5,170600,0.0,1.0
2000-05-12,22.5,22.56,22.25,22.31,96867,0.0,1.0
2000-05-15,22.44,22.94,22.31,22.81,98600,0.0,1.0
2000-05-16,22.88,23.87,22.81,23.56,140867,0.0,1.0
2000-05-17,23.62,23.62,23.19,23.31,140467,0.0,1.0
2000-05-18,23.5,23.94,23.31,23.31,139867,0.0,1.0
2000-05-19,23.25,23.31,22.97,23.06,56600,0.0,1.0
2000-05-22,23.0,23.0,22.37,22.75,120467,0.0,1.0
2000-05-23,22.88,22.88,22.25,22.37,86467,0.0,1.0
2000-05-24,22.25,22.88,22.25,22.75,95667,0.0,1.0
2000-05-25,22.75,22.81,22.25,22.25,111000,0.0,1.0
2000-05-26,22.25,22.25,21.88,21.94,112067,0.0,1.0
2000-05-30,22.0,22.81,21.81,22.81,102800,0.0,1.0
2000-05-31,22.63,22.63,22.0,22.06,138800,0.0,1.0
2000-06-01,22.06,22.56,22.06,22.5,102467,0.0,1.0
