date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-02-04,67.35,67.35,67.35,67.35,24150,0.0,1.0
2009-02-05,67.35,67.35,67.35,67.35,0,0.0,1.0
2009-02-06,66.5,67.0,66.5,67.0,3000,0.0,1.0
2009-02-09,66.5,67.0,66.5,67.0,0,0.0,1.0
2009-02-10,67.5,67.5,67.5,67.5,1872,0.0,1.0
2009-02-11,67.5,67.5,67.5,67.5,1000,0.0,1.0
2009-02-12,67.5,67.5,67.5,67.5,0,0.0,1.0
2009-02-13,66.8,67.05,66.8,67.05,33166,0.0,1.0
2009-02-17,67.05,67.05,64.5,67.0,10269,0.0,1.0
2009-02-18,65.0,65.0,64.5,65.0,4390,0.0,1.0
2009-02-19,65.0,65.0,64.5,65.0,0,0.0,1.0
2009-02-20,67.0,67.0,67.0,67.0,101,0.0,1.0
2009-02-23,58.0,58.0,58.0,58.0,304,0.0,1.0
2009-02-24,58.0,59.45,57.2,59.45,541,0.0,1.0
2009-02-25,58.5,58.5,58.5,58.5,113,0.0,1.0
2009-02-26,59.9,59.9,59.5,59.5,363,0.0,1.0
2009-02-27,59.9,59.9,59.5,59.5,0,0.0,1.0
2009-03-02,59.9,59.9,59.5,59.5,0,0.0,1.0
2009-03-03,60.2,60.2,60.2,60.2,256,0.0,1.0
2009-03-04,60.2,60.2,60.2,60.2,0,0.0,1.0
2009-03-05,60.2,60.2,60.2,60.2,0,0.0,1.0
2009-03-06,58.91,58.91,58.91,58.91,282,0.0,1.0
2009-03-09,59.0,59.0,59.0,59.0,125,0.0,1.0
2009-03-10,61.0,61.75,61.0,61.75,230,0.0,1.0
2009-03-11,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-12,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-13,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-16,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-17,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-18,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-19,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-20,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-23,61.0,61.75,61.0,61.75,0,0.0,1.0
2009-03-24,74.85,74.85,74.85,74.85,657,0.0,1.0
2009-03-25,74.85,74.85,74.85,74.85,0,0.0,1.0
2009-03-26,75.75,76.5,75.75,76.5,423,0.0,1.0
2009-03-27,75.75,76.5,75.75,76.5,0,0.0,1.0
2009-03-30,75.75,76.5,75.75,76.5,0,0.0,1.0
2009-03-31,75.0,75.0,75.0,75.0,107,0.0,1.0
2009-04-01,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-02,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-03,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-06,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-07,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-08,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-09,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-13,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-14,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-15,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-16,75.0,75.0,75.0,75.0,0,0.0,1.0
2009-04-17,75.1,75.1,75.1,75.1,100,0.0,1.0
2009-04-20,76.0,76.0,76.0,76.0,959,0.0,1.0
2009-04-21,72.8,73.5,72.8,73.5,210,0.0,1.0
2009-04-22,73.0,73.0,73.0,73.0,430,0.0,1.0
2009-04-23,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-04-24,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-04-27,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-04-28,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-04-29,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-04-30,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-01,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-04,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-05,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-06,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-07,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-08,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-11,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-12,73.0,73.0,73.0,73.0,0,0.0,1.0
2009-05-13,81.0,81.0,81.0,81.0,1200,0.0,1.0
2009-05-14,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-15,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-18,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-19,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-20,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-21,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-22,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-26,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-27,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-28,81.0,81.0,81.0,81.0,0,0.0,1.0
2009-05-29,82.75,82.75,82.75,82.75,105,0.0,1.0
2009-06-01,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-02,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-03,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-04,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-05,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-08,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-09,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-10,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-11,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-12,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-15,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-16,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-17,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-18,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-19,82.75,82.75,82.75,82.75,0,0.0,1.0
2009-06-22,85.45,85.45,85.45,85.45,131,0.0,1.0
2009-06-23,85.45,85.45,85.45,85.45,0,0.0,1.0
2009-06-24,85.45,85.45,85.45,85.45,0,0.0,1.0
2009-06-25,85.6,85.6,85.6,85.6,125,0.0,1.0
2009-06-26,85.6,85.6,85.6,85.6,0,0.0,1.0
2009-06-29,85.6,85.6,85.6,85.6,0,0.0,1.0
2009-06-30,86.5,86.5,86.5,86.5,151,0.0,1.0
2009-07-01,86.5,86.5,86.5,86.5,0,0.0,1.0
2009-07-02,86.5,86.5,86.5,86.5,0,0.0,1.0
2009-07-06,86.5,86.5,86.5,86.5,0,0.0,1.0
2009-07-07,86.5,86.5,86.5,86.5,0,0.0,1.0
2009-07-08,86.5,86.5,86.5,86.5,0,0.0,1.0
2009-07-09,86.5,86.5,86.5,86.5,0,0.0,1.0
2009-07-10,86.5,86.5,86.5,86.5,0,0.0,1.0
