date,open_price,high_price,low_price,close_price,volume,dividend,split
2014-03-28,13.0,14.35,11.77,13.98,9465500,0.0,1.0
2014-03-31,14.49,14.82,13.61,13.65,561000,0.0,1.0
2014-04-01,13.65,14.15,13.65,14.06,467300,0.0,1.0
2014-04-02,14.1,15.61,13.93,15.61,592100,0.0,1.0
2014-04-03,15.85,15.89,13.27,14.15,485200,0.0,1.0
2014-04-04,13.89,14.19,13.0,13.06,415300,0.0,1.0
2014-04-07,13.05,13.39,12.83,12.99,213600,0.0,1.0
2014-04-08,13.24,13.28,12.86,13.01,119000,0.0,1.0
2014-04-09,13.31,13.31,12.67,12.97,140500,0.0,1.0
2014-04-10,12.89,13.19,12.52,13.08,165100,0.0,1.0
2014-04-11,13.27,13.27,12.57,12.94,214000,0.0,1.0
2014-04-14,13.3,13.3,12.82,12.85,221500,0.0,1.0
2014-04-15,13.4,13.4,12.0,12.6,401600,0.0,1.0
2014-04-16,12.02,12.74,12.02,12.52,163800,0.0,1.0
2014-04-17,12.4,13.2,12.28,13.06,82200,0.0,1.0
2014-04-21,13.3,13.3,12.95,13.1,71800,0.0,1.0
2014-04-22,13.34,14.65,13.34,14.17,633700,0.0,1.0
2014-04-23,14.33,14.86,14.17,14.4,137000,0.0,1.0
2014-04-24,14.52,14.77,14.2,14.7,95300,0.0,1.0
2014-04-25,14.71,14.95,14.3,14.86,100100,0.0,1.0
2014-04-28,14.67,15.51,14.38,15.02,258600,0.0,1.0
2014-04-29,14.97,15.34,14.51,14.98,214800,0.0,1.0
2014-04-30,15.2,15.25,14.53,14.92,96900,0.0,1.0
2014-05-01,14.8,15.39,14.79,15.34,107300,0.0,1.0
2014-05-02,15.39,15.75,15.07,15.18,169100,0.0,1.0
2014-05-05,14.97,15.33,14.96,15.15,113300,0.0,1.0
2014-05-06,15.0,15.49,14.5,14.85,185300,0.0,1.0
2014-05-07,15.09,15.74,12.33,12.5,423900,0.0,1.0
2014-05-08,12.95,13.36,12.02,12.09,214900,0.0,1.0
2014-05-09,12.09,12.85,10.52,10.93,257200,0.0,1.0
2014-05-12,10.76,11.21,10.6,10.77,388200,0.0,1.0
2014-05-13,10.75,13.73,10.75,13.35,603600,0.0,1.0
2014-05-14,13.23,14.29,13.0,13.67,286100,0.0,1.0
2014-05-15,13.68,13.68,13.15,13.46,120800,0.0,1.0
2014-05-16,13.21,13.72,13.16,13.5,78700,0.0,1.0
2014-05-19,13.65,13.75,13.46,13.55,109900,0.0,1.0
2014-05-20,13.45,13.64,13.15,13.4,96700,0.0,1.0
2014-05-21,13.44,13.74,13.38,13.58,67800,0.0,1.0
2014-05-22,13.54,13.7,13.3,13.34,135200,0.0,1.0
2014-05-23,13.37,13.51,13.17,13.28,109700,0.0,1.0
2014-05-27,13.29,13.79,13.27,13.63,84100,0.0,1.0
2014-05-28,13.59,14.26,13.55,13.59,95500,0.0,1.0
2014-05-29,13.71,14.45,13.54,14.24,68800,0.0,1.0
2014-05-30,13.98,14.54,13.98,14.44,91600,0.0,1.0
2014-06-02,14.39,14.7,14.3,14.63,73800,0.0,1.0
2014-06-03,14.34,14.41,13.67,13.85,91600,0.0,1.0
2014-06-04,13.89,13.89,13.14,13.2,160900,0.0,1.0
2014-06-05,13.3,14.0,13.05,13.72,85500,0.0,1.0
2014-06-06,13.67,14.04,13.65,14.04,92300,0.0,1.0
2014-06-09,14.1,14.27,13.64,13.71,84600,0.0,1.0
2014-06-10,13.66,13.83,13.03,13.2,163600,0.0,1.0
2014-06-11,13.38,14.14,13.2,14.09,122500,0.0,1.0
2014-06-12,14.24,14.24,13.62,13.96,158700,0.0,1.0
2014-06-13,13.93,14.23,13.75,14.01,64900,0.0,1.0
2014-06-16,14.0,14.4,13.86,13.95,103800,0.0,1.0
2014-06-17,13.97,14.69,13.91,14.61,140600,0.0,1.0
2014-06-18,14.57,14.6,14.12,14.56,169500,0.0,1.0
2014-06-19,14.6,14.79,14.25,14.79,81800,0.0,1.0
2014-06-20,14.83,15.89,14.64,15.35,546500,0.0,1.0
2014-06-23,15.31,16.75,15.31,16.62,207500,0.0,1.0
2014-06-24,16.65,17.58,16.4,16.61,565700,0.0,1.0
2014-06-25,16.64,16.82,16.29,16.64,191800,0.0,1.0
2014-06-26,16.63,16.84,16.32,16.46,219500,0.0,1.0
2014-06-27,16.46,16.77,15.44,15.47,1493200,0.0,1.0
2014-06-30,15.7,16.91,15.25,16.81,230600,0.0,1.0
2014-07-01,16.95,16.95,15.81,16.08,128600,0.0,1.0
2014-07-02,16.02,17.33,16.02,16.65,207600,0.0,1.0
2014-07-03,16.65,17.01,16.33,16.6,59400,0.0,1.0
2014-07-07,16.61,16.66,15.6,15.64,107600,0.0,1.0
2014-07-08,15.7,15.86,14.39,14.77,367100,0.0,1.0
2014-07-09,14.76,14.76,13.78,14.13,252500,0.0,1.0
2014-07-10,13.74,14.36,13.4,14.31,237100,0.0,1.0
2014-07-11,14.33,14.69,14.1,14.45,155500,0.0,1.0
2014-07-14,14.58,14.78,14.3,14.5,109600,0.0,1.0
2014-07-15,14.46,14.5,14.03,14.13,145300,0.0,1.0
2014-07-16,14.25,14.25,13.85,13.96,134500,0.0,1.0
2014-07-17,13.89,13.89,13.25,13.5,185400,0.0,1.0
2014-07-18,13.4,13.59,13.36,13.5,130400,0.0,1.0
2014-07-21,13.46,13.52,13.07,13.32,180600,0.0,1.0
2014-07-22,13.4,13.73,13.32,13.65,80900,0.0,1.0
2014-07-23,13.72,13.9,13.64,13.72,68100,0.0,1.0
2014-07-24,13.66,13.73,13.5,13.56,86900,0.0,1.0
2014-07-25,13.76,14.43,13.53,14.37,154500,0.0,1.0
2014-07-28,14.43,14.55,14.03,14.28,114800,0.0,1.0
2014-07-29,14.39,14.58,14.08,14.37,91100,0.0,1.0
2014-07-30,14.55,14.55,14.24,14.41,71300,0.0,1.0
2014-07-31,14.22,14.26,13.96,14.06,104700,0.0,1.0
2014-08-01,14.1,14.1,13.51,13.71,92000,0.0,1.0
2014-08-04,13.72,14.05,13.71,13.82,87300,0.0,1.0
2014-08-05,13.7,13.98,13.1,13.64,296200,0.0,1.0
2014-08-06,13.52,14.3,13.27,14.21,229700,0.0,1.0
2014-08-07,14.53,16.7,14.09,16.54,703400,0.0,1.0
2014-08-08,16.6,17.18,16.06,17.08,156000,0.0,1.0
2014-08-11,15.94,16.87,15.92,16.82,227700,0.0,1.0
2014-08-12,16.8,16.8,16.1,16.34,223100,0.0,1.0
2014-08-13,16.34,17.0,16.03,16.81,113000,0.0,1.0
2014-08-14,16.84,18.46,16.41,18.04,358100,0.0,1.0
2014-08-15,18.29,18.29,17.01,17.87,82700,0.0,1.0
2014-08-18,18.0,18.3,17.9,18.28,96300,0.0,1.0
2014-08-19,18.28,18.81,17.91,18.57,117200,0.0,1.0
2014-08-20,18.41,19.36,17.95,19.21,131200,0.0,1.0
2014-08-21,19.33,19.47,18.8,19.4,99600,0.0,1.0
2014-08-22,19.41,19.72,19.36,19.48,101400,0.0,1.0
2014-08-25,19.69,20.2,19.09,19.94,152200,0.0,1.0
2014-08-26,20.05,20.14,19.16,19.5,245500,0.0,1.0
2014-08-27,19.45,19.47,18.74,18.75,73600,0.0,1.0
2014-08-28,18.75,19.0,18.43,18.56,63900,0.0,1.0
2014-08-29,18.62,19.0,18.32,18.9,74500,0.0,1.0
2014-09-02,18.98,18.98,18.35,18.55,112000,0.0,1.0
2014-09-03,18.59,18.75,17.93,18.03,81400,0.0,1.0
2014-09-04,18.09,18.24,17.13,17.3,98200,0.0,1.0
2014-09-05,17.25,17.38,16.4,16.47,151500,0.0,1.0
2014-09-08,16.41,16.9,16.17,16.55,225900,0.0,1.0
2014-09-09,16.57,16.77,16.07,16.1,49100,0.0,1.0
2014-09-10,16.15,16.59,15.76,15.79,107400,0.0,1.0
2014-09-11,15.76,15.91,15.42,15.52,80000,0.0,1.0
2014-09-12,15.6,15.9,15.52,15.61,129600,0.0,1.0
2014-09-15,15.56,16.0,15.54,15.79,131800,0.0,1.0
2014-09-16,15.72,15.72,15.19,15.37,96300,0.0,1.0
2014-09-17,15.25,16.32,15.25,15.94,126800,0.0,1.0
2014-09-18,16.07,16.51,15.33,15.4,58800,0.0,1.0
2014-09-19,15.43,15.91,15.34,15.37,107900,0.0,1.0
2014-09-22,15.22,15.38,15.0,15.19,62200,0.0,1.0
