date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-10-27,21.2,21.2,21.2,21.2,100,0.0,1.0
2008-10-28,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-10-29,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-10-30,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-10-31,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-11-03,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-11-04,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-11-05,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-11-06,21.2,21.2,21.2,21.2,0,0.0,1.0
2008-11-07,22.5,22.5,22.5,22.5,400,0.0,1.0
2008-11-10,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-11,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-12,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-13,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-14,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-17,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-18,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-19,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-20,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-21,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-24,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-25,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-26,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-11-28,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-01,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-02,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-03,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-04,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-05,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-08,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-09,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-10,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-11,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-12,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-15,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-16,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-17,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-18,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-19,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-22,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-23,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-24,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-26,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-29,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-30,22.5,22.5,22.5,22.5,0,0.0,1.0
2008-12-31,22.5,22.5,22.5,22.5,0,0.0,1.0
2009-01-02,22.5,22.5,22.5,22.5,0,0.0,1.0
2009-01-05,23.0,23.0,23.0,23.0,500,0.0,1.0
2009-01-06,23.0,23.0,23.0,23.0,0,0.0,1.0
2009-01-07,23.0,23.0,23.0,23.0,0,0.0,1.0
2009-01-08,22.7,22.7,22.7,22.7,200,0.0,1.0
2009-01-09,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-12,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-13,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-14,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-15,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-16,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-20,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-21,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-22,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-23,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-26,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-27,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-28,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-29,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-01-30,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-02,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-03,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-04,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-05,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-06,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-09,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-10,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-11,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-12,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-13,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-17,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-18,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-19,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-20,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-23,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-24,22.7,22.7,22.7,22.7,0,0.0,1.0
2009-02-25,23.45,23.45,23.45,23.45,100,0.0,1.0
2009-02-26,23.45,23.45,23.45,23.45,0,0.0,1.0
2009-02-27,21.9,21.9,21.9,21.9,100,0.0,1.0
2009-03-02,20.4,20.4,20.3,20.3,2700,0.0,1.0
2009-03-03,20.4,20.4,20.3,20.3,0,0.0,1.0
2009-03-04,20.4,20.4,20.3,20.3,0,0.0,1.0
2009-03-05,20.4,20.4,20.3,20.3,0,0.0,1.0
2009-03-06,20.4,20.4,20.3,20.3,0,0.0,1.0
2009-03-09,21.0,21.0,20.15,20.35,1300,0.0,1.0
2009-03-10,21.0,21.0,21.0,21.0,200,0.0,1.0
2009-03-11,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-12,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-13,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-16,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-17,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-18,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-19,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-20,21.0,21.0,21.0,21.0,0,0.0,1.0
2009-03-23,22.15,22.15,22.15,22.15,335,0.0,1.0
2009-03-24,22.15,22.15,22.15,22.15,0,0.0,1.0
2009-03-25,22.15,22.15,22.15,22.15,0,0.0,1.0
2009-03-26,23.9,23.9,23.9,23.9,100,0.0,1.0
2009-03-27,23.8,23.8,23.8,23.8,300,0.0,1.0
2009-03-30,22.2,22.2,22.0,22.0,700,0.0,1.0
2009-03-31,21.98,22.03,21.98,22.03,1100,0.0,1.0
2009-04-01,21.98,22.03,21.98,22.03,0,0.0,1.0
2009-04-02,21.98,22.03,21.98,22.03,0,0.0,1.0
2009-04-03,24.33,24.94,24.33,24.88,2200,0.0,1.0
2009-04-06,24.97,24.97,24.97,24.97,200,0.0,1.0
2009-04-07,24.7,24.7,24.7,24.7,200,0.0,1.0
2009-04-08,24.7,24.7,24.7,24.7,0,0.0,1.0
2009-04-09,25.25,25.62,25.25,25.62,1000,0.0,1.0
2009-04-13,25.25,25.62,25.25,25.62,0,0.0,1.0
2009-04-14,25.25,25.62,25.25,25.62,0,0.0,1.0
2009-04-15,25.99,25.99,25.99,25.99,100,0.0,1.0
2009-04-16,25.99,25.99,25.99,25.99,0,0.0,1.0
2009-04-17,25.99,25.99,25.99,25.99,0,0.0,1.0
2009-04-20,25.99,25.99,25.99,25.99,0,0.0,1.0
2009-04-21,25.99,25.99,25.99,25.99,0,0.0,1.0
2009-04-22,25.8,26.08,25.8,26.07,1724,0.0,1.0
2009-04-23,26.33,26.33,26.33,26.33,200,0.0,1.0
2009-04-24,26.33,26.33,26.33,26.33,0,0.0,1.0
