date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-12-06,81.25,81.25,81.25,81.25,600,0.0,1.0
2007-12-07,81.25,81.25,81.25,81.25,0,0.0,1.0
2007-12-10,71.15,71.15,71.15,71.15,16,0.0,1.0
2007-12-11,71.15,71.15,71.15,71.15,0,0.0,1.0
2007-12-12,71.15,71.15,71.15,71.15,0,0.0,1.0
2007-12-13,71.0,71.0,71.0,71.0,200,0.0,1.0
2007-12-14,71.0,71.15,71.0,71.0,310,0.0,1.0
2007-12-17,71.0,71.15,71.0,71.0,0,0.0,1.0
2007-12-18,71.0,71.15,71.0,71.0,0,0.0,1.0
2007-12-19,71.0,71.0,71.0,71.0,100,0.0,1.0
2007-12-20,71.0,71.0,71.0,71.0,0,0.0,1.0
2007-12-21,71.0,71.0,71.0,71.0,0,0.0,1.0
2007-12-24,71.0,71.0,71.0,71.0,0,0.0,1.0
2007-12-26,71.0,71.0,71.0,71.0,0,0.0,1.0
2007-12-27,73.0,80.25,73.0,80.25,1842,0.0,1.0
2007-12-28,73.0,80.25,73.0,80.25,0,0.0,1.0
2007-12-31,79.0,79.25,79.0,79.25,160,0.0,1.0
2008-01-02,79.0,79.25,79.0,79.25,0,0.0,1.0
2008-01-03,79.0,79.25,79.0,79.25,0,0.0,1.0
2008-01-04,79.0,79.0,79.0,79.0,30,0.0,1.0
2008-01-07,79.0,79.0,79.0,79.0,0,0.0,1.0
2008-01-08,79.0,79.0,79.0,79.0,0,0.0,1.0
2008-01-09,79.0,79.0,79.0,79.0,0,0.0,1.0
2008-01-10,79.0,79.0,79.0,79.0,0,0.0,1.0
2008-01-11,79.0,79.0,79.0,79.0,0,0.0,1.0
2008-01-14,79.0,79.0,79.0,79.0,0,0.0,1.0
2008-01-15,71.0,71.0,71.0,71.0,100,0.0,1.0
2008-01-16,73.25,78.0,73.25,78.0,1465,0.0,1.0
2008-01-17,73.25,78.0,73.25,78.0,0,0.0,1.0
2008-01-18,73.25,78.0,73.25,78.0,0,0.0,1.0
2008-01-22,71.5,78.5,71.5,78.5,1165,0.0,1.0
2008-01-23,72.25,72.25,72.25,72.25,100,0.0,1.0
2008-01-24,72.25,72.25,72.25,72.25,0,0.0,1.0
2008-01-25,72.25,72.25,72.25,72.25,0,0.0,1.0
2008-01-28,72.25,72.25,72.25,72.25,0,0.0,1.0
2008-01-29,72.25,72.25,72.25,72.25,0,0.0,1.0
