date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-12-10,72.15,72.15,72.15,72.15,183,0.0,1.0
2007-12-11,72.15,72.15,72.15,72.15,0,0.0,1.0
2007-12-12,72.1,72.1,72.1,72.1,210,0.0,1.0
2007-12-13,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-14,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-17,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-18,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-19,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-20,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-21,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-24,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-26,72.1,72.1,72.1,72.1,0,0.0,1.0
2007-12-27,78.5,80.75,78.5,80.75,786,0.0,1.0
2007-12-28,78.5,80.75,78.5,80.75,0,0.0,1.0
2007-12-31,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-02,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-03,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-04,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-07,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-08,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-09,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-10,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-11,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-14,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-15,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-16,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-17,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-18,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-22,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-23,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-24,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-25,78.5,80.75,78.5,80.75,0,0.0,1.0
2008-01-28,79.5,80.0,79.5,80.0,2360,0.0,1.0
2008-01-29,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-01-30,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-01-31,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-01,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-04,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-05,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-06,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-07,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-08,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-11,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-12,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-13,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-14,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-15,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-19,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-20,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-21,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-22,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-25,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-26,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-27,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-28,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-02-29,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-03,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-04,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-05,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-06,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-07,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-10,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-11,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-12,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-13,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-14,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-17,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-18,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-19,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-20,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-24,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-25,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-26,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-27,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-28,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-03-31,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-01,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-02,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-03,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-04,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-07,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-08,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-09,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-10,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-11,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-14,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-15,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-16,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-17,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-18,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-21,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-22,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-23,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-24,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-25,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-28,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-29,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-04-30,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-01,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-02,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-05,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-06,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-07,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-08,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-09,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-12,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-13,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-14,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-15,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-16,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-19,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-20,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-21,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-22,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-23,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-27,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-28,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-29,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-05-30,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-02,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-03,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-04,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-05,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-06,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-09,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-10,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-11,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-12,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-13,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-16,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-17,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-18,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-19,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-20,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-23,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-24,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-25,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-26,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-27,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-06-30,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-01,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-02,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-03,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-07,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-08,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-09,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-10,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-11,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-14,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-15,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-16,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-17,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-18,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-21,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-22,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-23,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-24,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-25,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-28,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-29,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-30,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-07-31,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-01,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-04,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-05,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-06,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-07,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-08,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-11,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-12,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-13,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-14,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-15,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-18,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-19,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-20,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-21,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-22,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-25,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-26,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-27,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-28,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-08-29,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-02,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-03,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-04,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-05,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-08,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-09,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-10,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-11,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-12,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-15,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-16,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-17,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-18,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-19,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-22,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-23,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-24,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-25,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-26,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-29,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-09-30,79.5,80.0,79.5,80.0,0,0.0,1.0
2008-10-01,71.0,71.0,71.0,71.0,31,0.0,1.0
2008-10-02,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-03,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-06,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-07,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-08,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-09,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-10,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-13,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-14,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-15,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-16,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-17,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-20,71.0,71.0,71.0,71.0,0,0.0,1.0
2008-10-21,73.0,73.0,73.0,73.0,87,0.0,1.0
2008-10-22,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-10-23,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-10-24,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-10-27,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-10-28,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-10-29,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-10-30,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-10-31,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-03,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-04,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-05,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-06,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-07,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-10,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-11,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-12,73.0,73.0,73.0,73.0,0,0.0,1.0
2008-11-13,73.0,73.0,73.0,73.0,0,0.0,1.0
