date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,29.85,30.25,29.85,29.85,10472,0.0,1.0
2007-07-16,30.1,30.15,29.85,30.1,9139,0.0,1.0
2007-07-17,30.55,30.55,30.2,30.55,27266,0.0,1.0
2007-07-18,29.65,30.1,29.6,29.65,11320,0.0,1.0
2007-07-19,30.1,40.29,30.1,30.1,21634,0.0,1.0
2007-07-20,30.65,30.9,30.35,30.65,48127,0.0,1.0
2007-07-23,30.65,30.65,30.25,30.65,9413,0.0,1.0
2007-07-24,30.65,30.96,30.5,30.65,46026,0.0,1.0
2007-07-25,30.65,30.65,30.3,30.65,6507,0.0,1.0
2007-07-26,29.15,29.95,28.8,29.15,14611,0.0,1.0
2007-07-27,28.9,28.95,28.45,28.9,12982,0.0,1.0
2007-07-30,29.5,29.5,28.8,29.5,17440,0.0,1.0
2007-07-31,29.65,29.9,29.65,29.65,11919,0.0,1.0
2007-08-01,28.4,28.4,27.9,28.4,11981,0.0,1.0
2007-08-02,28.6,29.1,28.25,28.6,32816,0.0,1.0
2007-08-03,27.85,27.95,27.43,27.85,13660,0.0,1.0
2007-08-06,26.5,26.5,25.75,26.5,21134,0.0,1.0
2007-08-07,26.35,26.6,26.25,26.35,14377,0.0,1.0
2007-08-08,28.65,28.65,27.95,28.65,11913,0.0,1.0
2007-08-09,27.5,28.15,27.5,27.5,7692,0.0,1.0
2007-08-10,27.35,27.45,27.0,27.35,7517,0.0,1.0
2007-08-13,28.15,28.3,27.75,28.15,16915,0.0,1.0
2007-08-14,28.2,28.6,27.65,28.2,17538,0.0,1.0
2007-08-15,26.75,27.55,26.75,26.75,27346,0.0,1.0
2007-08-16,25.5,26.2,25.0,25.5,23110,0.0,1.0
2007-08-17,26.5,26.5,25.6,26.5,17294,0.3758,1.0
2007-08-20,27.35,27.95,27.35,27.35,39038,0.0,1.0
2007-08-21,26.15,26.55,26.1,26.15,16105,0.0,1.0
2007-08-22,27.15,27.15,26.55,27.15,9421,0.0,1.0
2007-08-23,27.35,27.45,27.0,27.35,12628,0.0,1.0
2007-08-24,27.05,27.35,27.0,27.05,7468,0.0,1.0
2007-08-27,27.3,27.9,27.3,27.3,15026,0.0,1.0
2007-08-28,26.5,27.2,26.5,26.5,11744,0.0,1.0
2007-08-29,27.5,27.5,26.4,27.5,17758,0.0,1.0
2007-08-30,26.65,26.95,26.45,26.65,9574,0.0,1.0
2007-08-31,27.55,27.55,27.1,27.55,21813,0.0,1.0
2007-09-04,27.15,27.15,26.65,27.15,8905,0.0,1.0
2007-09-05,26.95,27.4,26.75,26.95,8581,0.0,1.0
2007-09-06,27.45,27.7,27.25,27.45,12286,0.0,1.0
2007-09-07,27.45,27.95,27.15,27.45,29968,0.0,1.0
2007-09-10,27.95,27.95,27.5,27.95,32346,0.0,1.0
2007-09-11,28.2,28.6,28.0,28.2,21075,0.0,1.0
2007-09-12,28.5,28.65,28.2,28.5,8232,0.0,1.0
2007-09-13,28.75,28.75,28.45,28.75,5938,0.0,1.0
2007-09-14,28.55,28.55,28.3,28.55,5677,0.0,1.0
2007-09-17,27.15,27.55,27.15,27.15,20101,0.0,1.0
2007-09-18,27.6,27.6,26.75,27.6,10611,0.0,1.0
2007-09-19,28.0,28.4,27.5,28.0,49671,0.0,1.0
2007-09-20,28.0,28.32,27.9,28.0,29631,0.0,1.0
2007-09-21,28.15,28.35,28.1,28.15,11331,0.0,1.0
2007-09-24,28.95,29.0,28.6,28.95,11264,0.0,1.0
2007-09-25,28.9,28.9,28.45,28.9,12822,0.0,1.0
2007-09-26,29.15,29.25,28.95,29.15,15515,0.0,1.0
2007-09-27,29.75,29.95,29.5,29.75,19113,0.0,1.0
2007-09-28,29.65,29.95,29.5,29.65,14695,0.0,1.0
2007-10-01,31.0,31.0,30.15,31.0,18130,0.0,1.0
2007-10-02,30.6,30.75,30.35,30.6,15002,0.0,1.0
2007-10-03,30.4,30.4,30.0,30.4,10427,0.0,1.0
2007-10-04,30.45,30.5,30.0,30.45,17175,0.0,1.0
2007-10-05,30.9,31.0,30.2,30.9,12345,0.0,1.0
2007-10-08,30.4,30.8,30.2,30.4,8899,0.0,1.0
2007-10-09,30.75,31.2,30.45,30.75,21659,0.0,1.0
2007-10-10,30.53,30.58,30.25,30.53,8698,0.0,1.0
2007-10-11,31.0,31.3,30.5,31.0,13246,0.0,1.0
2007-10-12,30.65,31.0,30.5,30.65,8598,0.0,1.0
2007-10-15,30.78,31.15,30.7,30.78,8500,0.0,1.0
2007-10-16,30.3,30.33,30.05,30.3,19143,0.0,1.0
2007-10-17,30.85,31.15,30.76,30.85,11943,0.0,1.0
2007-10-18,30.55,31.15,30.55,30.55,9666,0.0,1.0
2007-10-19,29.6,30.5,29.6,29.6,19825,0.0,1.0
2007-10-22,28.95,29.15,28.76,28.95,13056,0.0,1.0
2007-10-23,29.3,29.5,29.01,29.3,27529,0.0,1.0
2007-10-24,28.55,28.9,28.0,28.55,25363,0.0,1.0
2007-10-25,29.05,29.05,28.55,29.05,17535,0.0,1.0
2007-10-26,30.25,30.25,29.45,30.25,17835,0.0,1.0
2007-10-29,30.3,30.65,30.15,30.3,18279,0.0,1.0
2007-10-30,29.8,29.9,29.4,29.8,14960,0.0,1.0
2007-10-31,29.85,29.9,29.3,29.85,18807,0.0,1.0
2007-11-01,28.63,29.1,28.6,28.63,13553,0.0,1.0
2007-11-02,28.8,29.1,28.3,28.8,43209,0.0,1.0
2007-11-05,27.75,28.25,27.75,27.75,18372,0.0,1.0
2007-11-06,28.85,28.85,28.21,28.85,15711,0.0,1.0
2007-11-07,27.9,28.75,27.9,27.9,10340,0.0,1.0
2007-11-08,27.8,28.35,27.25,27.8,24036,0.0,1.0
2007-11-09,27.8,27.88,27.25,27.8,30039,0.0,1.0
2007-11-12,26.65,27.4,26.65,26.65,19909,0.0,1.0
2007-11-13,26.95,27.78,26.85,26.95,53167,0.0,1.0
2007-11-14,27.13,27.45,26.9,27.13,20607,0.0,1.0
2007-11-15,26.25,26.98,26.25,26.25,34913,0.0,1.0
2007-11-16,26.85,27.25,26.6,26.85,26836,0.0,1.0
2007-11-19,26.1,26.75,25.8,26.1,16444,0.0,1.0
2007-11-20,26.95,27.35,26.4,26.95,27892,0.0,1.0
2007-11-21,26.95,27.35,26.4,26.95,27892,0.0,1.0
2007-11-23,26.4,26.45,25.95,26.4,12327,0.0,1.0
2007-11-26,25.85,26.8,25.85,25.85,16846,0.0,1.0
2007-11-27,25.95,26.45,25.95,25.95,16630,0.0,1.0
2007-11-28,26.8,26.8,25.55,26.8,35689,0.0,1.0
2007-11-29,26.95,27.15,26.55,26.95,48509,0.0,1.0
2007-11-30,27.25,27.75,27.15,27.25,39445,0.0,1.0
2007-12-03,27.6,27.75,27.35,27.6,7803,0.0,1.0
2007-12-04,28.0,28.15,27.55,28.0,54975,0.0,1.0
2007-12-05,28.0,28.2,27.45,28.0,32144,0.0,1.0
2007-12-06,28.0,28.2,27.55,28.0,28304,0.0,1.0
2007-12-07,27.75,28.15,27.6,27.75,13437,0.0,1.0
2007-12-10,28.0,28.0,27.55,28.0,12999,0.0,1.0
2007-12-11,27.75,28.25,27.1,27.75,44115,0.0,1.0
2007-12-12,27.35,28.25,27.35,27.35,41884,0.0,1.0
2007-12-13,27.15,27.65,27.15,27.15,14210,0.0,1.0
2007-12-14,26.75,27.5,26.75,26.75,10590,0.0,1.0
2007-12-17,25.55,26.35,25.55,25.55,14942,0.0,1.0
2007-12-18,26.3,26.55,25.9,26.3,15316,0.0,1.0
2007-12-19,25.9,26.35,25.9,25.9,17759,0.0,1.0
2007-12-20,25.8,26.3,25.8,25.8,13710,0.0,1.0
2007-12-21,26.9,27.1,26.65,26.9,23803,0.0,1.0
2007-12-24,27.5,27.7,27.2,27.5,8987,0.0,1.0
2007-12-26,27.55,27.6,27.15,27.55,12179,0.0,1.0
2007-12-27,27.2,27.4,26.95,27.2,12545,0.0,1.0
2007-12-28,27.5,27.5,27.0,27.5,9333,0.0,1.0
2007-12-31,27.8,27.8,27.35,27.8,17319,0.0,1.0
2008-01-02,26.65,27.6,26.65,26.65,29360,0.0,1.0
2008-01-03,27.15,27.25,26.75,27.15,18626,0.0,1.0
2008-01-04,26.9,27.45,26.85,26.9,13859,0.0,1.0
2008-01-07,26.85,26.85,26.65,26.85,16832,0.0,1.0
2008-01-08,25.85,26.6,25.8,25.85,19286,0.0,1.0
2008-01-09,26.8,26.8,26.35,26.8,15208,0.0,1.0
2008-01-10,26.0,26.5,25.95,26.0,19506,0.0,1.0
2008-01-11,25.76,26.4,25.76,25.76,22641,0.0,1.0
2008-01-14,25.7,25.75,25.5,25.7,43916,0.0,1.0
2008-01-15,24.05,24.8,24.01,24.05,17065,0.0,1.0
2008-01-16,24.05,24.25,23.75,24.05,30173,0.0,1.0
2008-01-17,24.15,25.3,24.15,24.15,35415,0.0,1.0
2008-01-18,24.75,25.1,24.25,24.75,159037,0.0,1.0
2008-01-22,23.75,24.0,22.9,23.75,33699,0.0,1.0
2008-01-23,23.8,24.0,22.8,23.8,51473,0.0,1.0
2008-01-24,24.35,24.74,24.26,24.35,39348,0.0,1.0
2008-01-25,25.1,25.7,24.9,25.1,30581,0.0,1.0
2008-01-28,25.1,25.1,24.35,25.1,19952,0.0,1.0
2008-01-29,24.95,24.95,24.55,24.95,29795,0.0,1.0
2008-01-30,24.71,25.14,24.5,24.71,70295,0.0,1.0
2008-01-31,24.55,24.95,24.25,24.55,33681,0.0,1.0
2008-02-01,25.3,25.55,25.15,25.3,25256,0.0,1.0
2008-02-04,25.9,26.35,25.75,25.9,14754,0.0,1.0
2008-02-05,25.0,25.91,25.0,25.0,27485,0.0,1.0
2008-02-06,24.56,25.1,24.55,24.56,24043,0.0,1.0
2008-02-07,24.56,25.0,24.5,24.56,14435,0.0,1.0
2008-02-08,24.7,25.0,24.4,24.7,11880,0.0,1.0
2008-02-11,23.87,24.3,23.8,23.87,17953,0.0,1.0
2008-02-12,24.3,24.55,24.25,24.3,22467,0.0,1.0
2008-02-13,24.4,24.5,24.3,24.4,22618,0.0,1.0
2008-02-14,24.75,25.35,24.75,24.75,27168,0.0,1.0
2008-02-15,25.51,27.75,25.35,25.51,24079,0.0,1.0
2008-02-19,25.56,26.0,25.55,25.56,27850,0.0,1.0
2008-02-20,25.45,25.65,25.15,25.45,19205,0.0,1.0
2008-02-21,25.84,26.15,25.7,25.84,49151,0.0,1.0
2008-02-22,26.7,26.8,26.1,26.7,30215,0.0,1.0
2008-02-25,26.5,26.9,26.36,26.5,19516,0.0,1.0
2008-02-26,27.1,27.1,26.55,27.1,20864,0.0,1.0
2008-02-27,26.4,26.4,26.1,26.4,20993,0.0,1.0
2008-02-28,26.1,26.5,26.05,26.1,14977,0.0,1.0
2008-02-29,25.05,26.1,25.05,25.05,15147,0.0,1.0
2008-03-03,25.35,25.65,25.3,25.35,25330,0.0,1.0
2008-03-04,25.41,25.89,25.2,25.41,21006,0.0,1.0
2008-03-05,25.56,25.9,25.46,25.56,14751,0.0,1.0
2008-03-06,25.4,27.75,25.4,25.4,17644,0.0,1.0
2008-03-07,24.85,25.6,24.85,24.85,14152,0.0,1.0
2008-03-10,25.65,25.9,25.31,25.65,24532,0.0,1.0
2008-03-11,26.25,26.25,25.56,26.25,28520,0.0,1.0
2008-03-12,25.5,25.95,25.5,25.5,24616,0.0,1.0
2008-03-13,25.01,25.4,24.61,25.01,19993,0.0,1.0
2008-03-14,24.36,25.05,24.31,24.36,20733,0.0,1.0
2008-03-17,24.55,25.0,24.3,24.55,25722,0.0,1.0
2008-03-18,25.78,26.25,25.25,25.78,66655,0.0,1.0
2008-03-19,25.35,26.3,25.35,25.35,27494,0.0,1.0
2008-03-20,26.0,26.35,25.8,26.0,27856,0.0,1.0
2008-03-24,27.05,27.05,26.7,27.05,41396,0.0,1.0
2008-03-25,28.0,28.24,27.55,28.0,350197,0.0,1.0
2008-03-26,27.75,28.1,27.61,27.75,92553,0.0,1.0
2008-03-27,28.3,28.5,28.11,28.3,14189,0.0,1.0
2008-03-28,27.9,28.3,27.8,27.9,35342,0.0,1.0
2008-03-31,27.7,27.95,27.65,27.7,39100,0.0,1.0
2008-04-01,29.04,29.04,28.3,29.04,27269,0.0,1.0
2008-04-02,29.05,29.4,29.01,29.05,13170,0.0,1.0
2008-04-03,29.36,29.55,29.2,29.36,36563,0.0,1.0
2008-04-04,29.35,29.45,29.01,29.35,13551,0.0,1.0
2008-04-07,29.4,29.55,29.25,29.4,42958,0.0,1.0
2008-04-08,28.62,29.0,28.6,28.62,15652,0.0,1.0
2008-04-09,28.7,29.09,28.7,28.7,26657,0.0,1.0
2008-04-10,29.55,29.79,29.4,29.55,24785,0.0,1.0
2008-04-11,29.96,30.25,29.75,29.96,18549,0.0,1.0
2008-04-14,29.56,29.85,29.55,29.56,12043,0.0,1.0
2008-04-15,29.6,29.9,29.45,29.6,29162,0.0,1.0
2008-04-16,30.25,30.25,29.75,30.25,44483,0.0,1.0
2008-04-17,30.1,30.25,29.95,30.1,44631,0.0,1.0
2008-04-18,30.35,30.45,30.0,30.35,12919,0.0,1.0
2008-04-21,30.21,30.5,30.15,30.21,12483,0.0,1.0
2008-04-22,30.26,30.8,30.26,30.26,18359,0.0,1.0
2008-04-23,31.0,31.1,30.45,31.0,24144,0.0,1.0
2008-04-24,30.71,30.85,29.95,30.71,115151,0.0,1.0
2008-04-25,30.3,30.5,30.0,30.3,20314,0.0,1.0
2008-04-28,30.5,30.55,30.05,30.5,37292,0.0,1.0
2008-04-29,30.15,30.34,30.1,30.15,22274,0.0,1.0
2008-04-30,30.05,30.35,30.0,30.05,16162,0.0,1.0
2008-05-01,30.65,30.65,30.0,30.65,10288,0.0,1.0
2008-05-02,30.91,31.85,30.86,30.91,16825,0.0,1.0
2008-05-05,31.15,31.45,31.15,31.15,13046,0.0,1.0
2008-05-06,31.51,31.75,31.25,31.51,12444,0.0,1.0
2008-05-07,30.45,31.4,30.45,30.45,26344,0.6589,1.0
2008-05-08,29.95,30.3,29.75,29.95,32478,0.0,1.0
2008-05-09,29.8,30.3,29.76,29.8,9061,0.0,1.0
2008-05-12,29.85,29.95,29.55,29.85,10972,0.0,1.0
