date,open_price,high_price,low_price,close_price,volume,dividend,split
2015-07-31,8.68,8.82,8.68,8.76,4625274,0.0,1.0
2015-08-03,8.75,8.85,8.72,8.83,8060908,0.0,1.0
2015-08-04,8.79,8.85,8.76,8.77,8835836,0.0,1.0
2015-08-05,8.79,8.84,8.6,8.67,4617986,0.0,1.0
2015-08-06,8.64,9.08,8.6,8.73,10226074,0.0,1.0
2015-08-07,8.75,8.75,8.46,8.69,4808723,0.0,1.0
2015-08-10,8.66,8.66,8.51,8.66,4105591,0.0,1.0
2015-08-11,8.64,8.9,8.58,8.78,5901071,0.0,1.0
2015-08-12,8.84,8.85,8.6,8.67,5730853,0.0,1.0
2015-08-13,8.64,8.7,8.55,8.63,3146535,0.0,1.0
2015-08-14,8.59,8.63,8.52,8.6,3686151,0.0,1.0
2015-08-17,8.6,8.71,8.53,8.71,4181220,0.0,1.0
2015-08-18,8.71,8.8,8.68,8.71,3602269,0.0,1.0
2015-08-19,8.7,8.74,8.6,8.67,3913782,0.0,1.0
2015-08-20,8.61,8.67,8.53,8.62,3736302,0.0,1.0
2015-08-21,8.55,8.59,8.36,8.36,6663722,0.0,1.0
2015-08-24,7.83,8.24,7.5,7.98,7492235,0.0,1.0
2015-08-25,8.08,8.17,7.85,7.85,6832239,0.0,1.0
2015-08-26,7.92,8.07,7.88,8.06,8188302,0.0,1.0
2015-08-27,7.97,8.39,7.97,8.26,5039260,0.0,1.0
2015-08-28,8.4,8.41,8.25,8.29,8040467,0.0,1.0
2015-08-31,8.26,8.3,8.11,8.14,7844448,0.0,1.0
2015-09-01,8.1,8.2,7.95,8.03,4908351,0.0,1.0
2015-09-02,8.13,8.19,8.03,8.18,6941261,0.0,1.0
2015-09-03,8.01,8.18,8.01,8.16,4082505,0.0,1.0
2015-09-04,8.11,8.12,7.94,8.0,5210454,0.0,1.0
2015-09-08,8.02,8.1,7.92,8.08,4068958,0.0,1.0
2015-09-09,8.1,8.11,7.82,7.9,6978152,0.0,1.0
2015-09-10,7.9,7.98,7.74,7.77,8712988,0.0,1.0
2015-09-11,7.77,8.02,7.75,8.0,7964128,0.0,1.0
2015-09-14,8.0,8.05,7.86,7.9,3580532,0.0,1.0
2015-09-15,7.98,8.02,7.9,8.0,4785516,0.0,1.0
2015-09-16,8.02,8.15,8.02,8.1,4055766,0.0,1.0
2015-09-17,8.06,8.34,7.96,8.22,6641461,0.0,1.0
