date,open_price,high_price,low_price,close_price,volume,dividend,split
2012-03-23,6.0,6.23,5.42,5.5,5168404,0.0,1.0
2012-03-26,5.61,5.74,4.7,4.7,1041715,0.0,1.0
2012-03-27,4.65,4.99,4.58,4.6,314786,0.0,1.0
2012-03-28,4.53,4.68,4.45,4.5,209562,0.0,1.0
2012-03-29,4.46,4.5,4.25,4.35,181569,0.0,1.0
2012-03-30,4.47,4.54,4.25,4.39,127194,0.0,1.0
2012-04-02,4.35,4.64,4.35,4.38,197179,0.0,1.0
2012-04-03,4.56,4.68,4.23,4.26,186597,0.0,1.0
2012-04-04,4.23,4.3,4.12,4.3,136607,0.0,1.0
2012-04-05,4.25,4.5,4.25,4.35,51435,0.0,1.0
2012-04-09,4.48,4.6,4.3,4.38,83918,0.0,1.0
2012-04-10,4.36,4.65,4.36,4.52,159313,0.0,1.0
2012-04-11,4.55,4.75,4.45,4.65,101855,0.0,1.0
2012-04-12,4.61,4.8,4.61,4.65,132777,0.0,1.0
2012-04-13,4.62,4.84,4.61,4.82,241646,0.0,1.0
2012-04-16,4.85,5.12,4.82,5.01,200231,0.0,1.0
2012-04-17,5.04,5.65,5.04,5.44,281890,0.0,1.0
2012-04-18,5.41,5.9,5.41,5.9,335190,0.0,1.0
2012-04-19,5.9,5.98,5.77,5.95,185588,0.0,1.0
2012-04-20,5.93,5.98,5.81,5.96,107049,0.0,1.0
2012-04-23,5.9,6.0,5.67,6.0,128158,0.0,1.0
2012-04-24,6.1,6.1,5.9,6.02,156887,0.0,1.0
2012-04-25,6.05,6.05,5.23,5.25,328145,0.0,1.0
2012-04-26,5.25,5.63,5.11,5.31,134533,0.0,1.0
2012-04-27,5.32,5.53,5.25,5.3,60008,0.0,1.0
2012-04-30,5.27,5.61,5.27,5.4,93154,0.0,1.0
2012-05-01,5.45,5.59,5.34,5.46,73091,0.0,1.0
2012-05-02,5.71,5.76,5.58,5.69,82989,0.0,1.0
2012-05-03,5.71,5.75,5.5,5.56,50850,0.0,1.0
2012-05-04,5.26,5.73,5.26,5.49,23533,0.0,1.0
2012-05-07,5.47,5.6,5.31,5.38,45865,0.0,1.0
2012-05-08,5.34,5.5,5.22,5.3,83209,0.0,1.0
2012-05-09,5.22,5.49,5.2,5.37,31056,0.0,1.0
2012-05-10,5.37,5.58,5.09,5.17,159749,0.0,1.0
2012-05-11,5.16,5.48,5.1,5.4,48422,0.0,1.0
2012-05-14,5.46,5.75,5.46,5.65,171572,0.0,1.0
2012-05-15,5.7,5.82,5.17,5.29,83213,0.0,1.0
2012-05-16,5.33,5.4,5.01,5.05,64782,0.0,1.0
2012-05-17,5.05,5.17,5.0,5.11,64429,0.0,1.0
2012-05-18,5.16,5.3,5.15,5.15,108157,0.0,1.0
2012-05-21,5.24,5.39,5.0,5.03,27744,0.0,1.0
2012-05-22,5.03,5.18,4.62,4.86,51666,0.0,1.0
2012-05-23,4.79,4.86,4.31,4.69,68276,0.0,1.0
2012-05-24,4.74,4.86,4.74,4.8,20100,0.0,1.0
2012-05-25,4.81,5.1,4.81,5.0,29185,0.0,1.0
2012-05-29,5.04,5.14,4.94,5.06,69636,0.0,1.0
2012-05-30,5.06,5.31,5.0,5.29,223665,0.0,1.0
2012-05-31,5.29,5.52,5.29,5.5,90917,0.0,1.0
