date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,18.38,18.44,18.25,18.31,111025,0.0,1.0
1999-11-02,18.31,18.75,17.88,17.88,563625,0.0,1.0
1999-11-03,18.5,18.69,18.44,18.69,611650,0.0,1.0
1999-11-04,18.75,18.94,18.69,18.75,525325,0.0,1.0
1999-11-05,18.75,18.88,17.69,17.94,417350,0.08,1.0
1999-11-08,18.0,18.44,18.0,18.38,158500,0.0,1.0
1999-11-09,18.5,18.69,18.31,18.5,232250,0.0,1.0
1999-11-10,19.44,19.69,19.0,19.44,923550,0.0,1.0
1999-11-11,19.56,20.0,19.44,20.0,396675,0.0,1.0
1999-11-12,20.0,20.0,19.63,19.75,71200,0.0,1.0
1999-11-15,19.75,20.13,19.69,20.06,242625,0.0,1.0
1999-11-16,20.19,20.56,20.19,20.19,237050,0.0,1.0
1999-11-17,21.0,21.94,21.0,21.75,806050,0.0,1.0
1999-11-18,21.75,23.0,21.63,22.88,1000350,0.0,1.0
1999-11-19,22.81,23.31,22.56,23.13,574875,0.0,1.0
1999-11-22,23.0,23.0,22.75,22.75,274575,0.0,1.0
1999-11-23,22.81,22.81,20.94,21.38,566575,0.0,1.0
1999-11-24,21.56,21.56,20.63,20.88,394150,0.0,1.0
1999-11-26,20.69,20.94,20.63,20.81,88275,0.0,1.0
1999-11-29,20.88,20.88,19.38,20.44,418225,0.0,1.0
1999-11-30,20.5,20.75,19.88,20.75,133450,0.0,1.0
1999-12-01,20.56,20.88,20.06,20.88,203250,0.0,1.0
1999-12-02,20.88,21.38,20.88,21.06,96700,0.0,1.0
1999-12-03,21.19,21.22,20.63,20.69,114200,0.0,1.0
1999-12-06,20.69,20.69,19.94,20.06,181050,0.0,1.0
1999-12-07,20.06,20.06,19.5,19.88,260700,0.0,1.0
1999-12-08,19.81,20.25,19.5,20.13,119900,0.0,1.0
1999-12-09,20.13,20.25,19.38,19.56,130275,0.0,1.0
1999-12-10,19.69,19.69,19.25,19.31,269000,0.0,1.0
1999-12-13,19.31,19.81,19.19,19.44,193075,0.0,1.0
1999-12-14,19.38,19.56,19.0,19.06,193850,0.0,1.0
1999-12-15,19.63,20.13,19.5,19.81,265500,0.0,1.0
1999-12-16,19.69,19.75,19.38,19.75,90125,0.0,1.0
1999-12-17,19.75,20.0,19.5,19.56,180925,0.0,1.0
1999-12-20,19.75,19.75,19.06,19.19,198550,0.0,1.0
1999-12-21,19.06,19.44,19.0,19.31,214625,0.0,1.0
1999-12-22,19.25,19.63,19.25,19.56,122725,0.0,1.0
1999-12-23,19.63,20.19,19.63,19.88,116600,0.0,1.0
1999-12-27,20.0,20.0,19.13,19.13,115300,0.0,1.0
