date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-19,8.69,8.69,8.69,8.69,840,0.0,1.0
2016-01-20,8.69,8.69,8.69,8.69,0,0.0,1.0
2016-01-21,8.85,8.88,8.85,8.88,1726,0.0,1.0
2016-01-22,8.88,8.88,8.88,8.88,0,0.0,1.0
2016-01-25,8.97,8.98,8.97,8.98,1728,0.0,1.0
2016-01-26,9.37,9.37,9.37,9.37,300,0.0,1.0
2016-01-27,9.37,9.37,9.37,9.37,0,0.0,1.0
2016-01-28,9.12,9.12,9.12,9.12,13925,0.0,1.0
2016-01-29,8.9,8.9,8.9,8.9,113,0.0,1.0
2016-02-01,8.95,8.95,8.95,8.95,500,0.0,1.0
2016-02-02,9.04,9.04,9.04,9.04,674,0.0,1.0
2016-02-03,8.75,8.75,8.7,8.75,47039,0.0,1.0
2016-02-04,9.25,9.25,9.25,9.25,207,0.0,1.0
2016-02-05,9.6,9.65,9.5,9.65,9512,0.0,1.0
2016-02-08,9.65,9.65,9.65,9.65,156,0.0,1.0
2016-02-09,9.65,9.65,9.65,9.65,31,0.0,1.0
2016-02-10,9.4,9.4,9.4,9.4,1138,0.0,1.0
2016-02-11,9.23,9.23,9.2,9.2,2041,0.0,1.0
2016-02-12,9.35,9.35,9.35,9.35,1123,0.0,1.0
2016-02-16,9.72,9.72,9.61,9.61,1478,0.0,1.0
2016-02-17,10.09,10.18,10.09,10.18,2357,0.0,1.0
2016-02-18,10.17,10.17,10.17,10.17,2891,0.0,1.0
2016-02-19,10.17,10.17,10.17,10.17,30,0.0,1.0
2016-02-22,10.19,10.19,10.19,10.19,1101,0.0,1.0
2016-02-23,10.18,10.28,10.06,10.28,2582,0.0,1.0
2016-02-24,9.74,9.74,9.72,9.72,108918,0.0,1.0
2016-02-25,9.87,10.01,9.86,10.01,7428,0.0,1.0
2016-02-26,10.03,10.06,10.02,10.02,6212,0.0,1.0
2016-02-29,9.95,9.98,9.95,9.98,300,0.0,1.0
2016-03-01,9.98,10.0,9.98,10.0,460,0.0,1.0
2016-03-02,9.94,10.0,9.93,10.0,1192,0.0,1.0
2016-03-03,10.1,10.1,10.1,10.1,3856,0.0,1.0
2016-03-04,10.43,10.43,10.43,10.43,2400,0.0,1.0
2016-03-07,10.35,10.36,10.35,10.36,1247,0.0,1.0
2016-03-08,10.37,10.37,10.24,10.24,4318,0.0,1.0
2016-03-09,10.38,10.49,10.38,10.49,660,0.0,1.0
2016-03-10,10.5,10.5,10.23,10.23,1080,0.0,1.0
2016-03-11,10.48,10.67,10.48,10.54,10785,0.0,1.0
2016-03-14,10.51,10.55,10.51,10.52,1731,0.0,1.0
2016-03-15,10.38,10.38,10.33,10.33,1392,0.0,1.0
2016-03-16,10.2,10.31,10.12,10.15,5160,0.0,1.0
2016-03-17,10.43,10.8,10.43,10.75,21838,0.0,1.0
2016-03-18,10.5,10.62,10.5,10.6,7763,0.0,1.0
2016-03-21,10.51,10.68,10.5,10.66,9803,0.0,1.0
2016-03-22,10.48,10.66,10.45,10.66,3224,0.0,1.0
2016-03-23,10.68,10.68,10.54,10.68,4269,0.0,1.0
2016-03-24,10.33,10.33,10.33,10.33,415,0.0,1.0
2016-03-28,10.36,10.57,10.36,10.47,14166,0.0,1.0
2016-03-29,10.46,10.56,10.37,10.37,13438,0.0,1.0
2016-03-30,10.89,10.96,10.83,10.95,2335,0.0,1.0
2016-03-31,10.9,11.2,10.9,11.0,33698,0.0,1.0
2016-04-01,10.97,11.05,10.97,10.99,3623,0.0,1.0
2016-04-04,11.03,11.04,10.99,11.0,5062,0.0,1.0
2016-04-05,10.68,10.91,10.68,10.85,8977,0.0,1.0
2016-04-06,10.71,10.86,10.42,10.42,6483,0.3682,1.0
2016-04-07,10.44,10.44,10.31,10.31,4374,0.0,1.0
2016-04-08,10.75,10.81,10.75,10.77,6027,0.0,1.0
2016-04-11,10.84,10.93,10.84,10.9,4034,0.0,1.0
2016-04-12,10.84,10.99,10.84,10.92,4964,0.0,1.0
2016-04-13,11.08,11.09,11.06,11.09,7571,0.0,1.0
2016-04-14,11.13,11.13,11.03,11.1,5429,0.0,1.0
2016-04-15,11.18,11.18,11.11,11.14,2439,0.0,1.0
2016-04-18,11.2,11.26,11.15,11.22,7021,0.0,1.0
2016-04-19,11.45,11.6,11.42,11.59,12990,0.0,1.0
2016-04-20,11.62,11.64,11.58,11.63,5087,0.0,1.0
2016-04-21,11.55,11.61,11.55,11.59,4948,0.0,1.0
2016-04-22,12.1,12.2,12.1,12.15,6728,0.0,1.0
2016-04-25,11.98,12.04,11.98,12.03,18939,0.0,1.0
2016-04-26,11.94,12.01,11.94,12.01,7003,0.0,1.0
2016-04-27,11.98,12.01,11.88,12.01,7642,0.0,1.0
2016-04-28,11.92,11.97,11.91,11.92,3713,0.0,1.0
2016-04-29,11.84,11.84,11.68,11.82,9800,0.0,1.0
2016-05-02,11.69,11.69,11.64,11.65,38834,0.0,1.0
2016-05-03,11.54,11.54,11.42,11.42,18675,0.0,1.0
2016-05-04,11.25,11.34,11.23,11.24,2728,0.0,1.0
2016-05-05,11.24,11.25,11.2,11.2,8480,0.0,1.0
2016-05-06,11.33,11.35,11.19,11.35,4788,0.0,1.0
2016-05-09,11.3,11.31,11.13,11.24,4077,0.0,1.0
2016-05-10,11.32,11.36,11.32,11.35,12060,0.0,1.0
2016-05-11,11.35,11.47,11.31,11.37,6049,0.0,1.0
2016-05-12,11.36,11.36,11.1,11.16,2896,0.0,1.0
2016-05-13,11.12,11.12,11.03,11.06,3775,0.0,1.0
2016-05-16,11.13,11.31,11.13,11.31,8836,0.0,1.0
2016-05-17,11.31,11.41,11.24,11.24,6433,0.0,1.0
2016-05-18,11.0,11.1,10.91,10.96,6502,0.0,1.0
2016-05-19,10.89,10.89,10.65,10.7,478041,0.0,1.0
2016-05-20,10.9,10.91,10.82,10.9,4418,0.0,1.0
2016-05-23,10.89,10.93,10.87,10.93,4123,0.0,1.0
2016-05-24,10.94,10.97,10.86,10.96,6045,0.0,1.0
2016-05-25,11.04,11.16,11.03,11.16,1655,0.0,1.0
2016-05-26,11.16,11.16,11.12,11.14,2021,0.0,1.0
2016-05-27,11.09,11.13,11.02,11.04,1820,0.0,1.0
2016-05-31,11.12,11.12,11.03,11.03,7698,0.0,1.0
2016-06-01,11.01,11.03,10.96,11.0,6194,0.0,1.0
2016-06-02,11.03,11.13,11.03,11.06,7574,0.0,1.0
2016-06-03,11.38,11.38,11.29,11.34,3351,0.0,1.0
2016-06-06,11.34,11.46,11.34,11.46,4553,0.0,1.0
2016-06-07,11.68,11.68,11.61,11.63,4580,0.0,1.0
2016-06-08,11.62,11.65,11.55,11.58,4516,0.0,1.0
2016-06-09,11.37,11.45,11.37,11.45,1511,0.0,1.0
2016-06-10,11.01,11.01,10.91,10.91,2768,0.0,1.0
2016-06-13,10.8,10.8,10.71,10.79,1623,0.0,1.0
2016-06-14,10.61,10.61,10.47,10.54,446967,0.0,1.0
2016-06-15,10.59,10.61,10.48,10.56,4985,0.0,1.0
2016-06-16,10.25,10.35,10.15,10.29,14798,0.0,1.0
2016-06-17,10.54,10.72,10.54,10.66,7721,0.0,1.0
2016-06-20,10.88,10.88,10.83,10.83,4995,0.0,1.0
2016-06-21,10.77,10.96,10.77,10.92,5588,0.0,1.0
2016-06-22,11.08,11.11,10.99,11.04,15458,0.0,1.0
2016-06-23,11.24,11.33,11.19,11.27,3897,0.0,1.0
2016-06-24,10.11,10.9,9.97,10.4,6923,0.0,1.0
