date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,27.0,27.13,25.25,25.5,29900,0.0,1.0
1999-11-02,25.5,26.0,24.25,24.5,68000,0.0,1.0
1999-11-03,25.25,26.38,25.25,26.25,74800,0.0,1.0
1999-11-04,25.94,26.5,25.75,26.0,67100,0.0,1.0
1999-11-05,25.91,25.94,23.75,25.13,69300,0.0,1.0
1999-11-08,25.13,25.88,23.88,24.25,93500,0.0,1.0
1999-11-09,24.16,24.25,23.75,24.06,100900,0.0,1.0
1999-11-10,23.5,24.25,22.25,24.25,118300,0.0,1.0
1999-11-11,26.38,27.5,24.31,26.13,238500,0.0,1.0
1999-11-12,26.38,27.0,25.38,26.38,69000,0.0,1.0
1999-11-15,26.0,26.0,24.0,25.25,51200,0.0,1.0
1999-11-16,24.63,25.25,24.0,24.88,102000,0.0,1.0
1999-11-17,25.5,25.63,24.5,25.0,42600,0.0,1.0
1999-11-18,25.13,25.25,24.25,24.88,29700,0.0,1.0
1999-11-19,24.38,25.0,24.38,24.75,41500,0.0,1.0
1999-11-22,24.41,25.94,24.25,25.94,64800,0.0,1.0
1999-11-23,25.72,26.0,24.88,24.88,31900,0.0,1.0
1999-11-24,24.88,25.25,24.88,25.0,15400,0.0,1.0
1999-11-26,25.19,25.75,25.0,25.25,22200,0.0,1.0
1999-11-29,25.19,25.63,24.56,24.56,42100,0.0,1.0
1999-11-30,24.56,27.25,24.56,25.81,158700,0.0,1.0
1999-12-01,27.5,28.94,26.38,28.88,330700,0.0,1.0
1999-12-02,30.69,33.5,30.63,32.0,251600,0.0,1.0
1999-12-03,32.75,32.75,30.0,31.75,109800,0.0,1.0
1999-12-06,31.88,32.06,30.88,31.63,48400,0.0,1.0
1999-12-07,31.13,31.44,28.75,29.88,108200,0.0,1.0
1999-12-08,29.25,32.0,29.0,31.25,60000,0.0,1.0
1999-12-09,32.13,32.25,29.81,30.38,49500,0.0,1.0
1999-12-10,31.38,40.0,31.0,39.0,623500,0.0,1.0
1999-12-13,40.06,44.13,39.0,43.75,408300,0.0,1.0
1999-12-14,45.75,45.75,36.25,42.0,259400,0.0,1.0
1999-12-15,41.0,41.0,38.25,39.0,91200,0.0,1.0
1999-12-16,38.16,41.5,38.13,41.0,75100,0.0,1.0
1999-12-17,42.56,44.0,40.44,43.0,103900,0.0,1.0
1999-12-20,43.13,49.88,43.13,48.13,204900,0.0,1.0
1999-12-21,50.81,53.25,48.13,53.0,240200,0.0,1.0
1999-12-22,54.5,55.44,51.56,55.13,182900,0.0,1.0
1999-12-23,54.91,55.5,51.94,55.0,113300,0.0,1.0
1999-12-27,53.22,54.13,50.5,52.38,95100,0.0,1.0
1999-12-28,51.13,52.0,46.0,50.0,132800,0.0,1.0
1999-12-29,47.69,48.94,45.88,46.38,87900,0.0,1.0
1999-12-30,47.69,49.5,47.13,48.13,60300,0.0,1.0
1999-12-31,49.38,50.0,46.5,49.88,28800,0.0,1.0
2000-01-03,49.88,49.88,49.88,49.88,185800,0.0,1.0
