date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-08-14,15.9,16.2,15.9,15.9,3113,0.0,2.0
2018-08-15,15.59,15.63,15.39,15.63,32484,0.0,1.0
2018-08-16,15.68,15.76,15.56,15.66,14188,0.0,1.0
2018-08-17,15.55,15.92,15.48,15.8,22856,0.0,1.0
2018-08-20,15.76,15.86,15.74,15.86,28215,0.0,1.0
2018-08-21,16.06,16.28,16.04,16.1,66948,0.0,1.0
2018-08-22,15.91,15.98,15.79,15.97,50886,0.0,1.0
2018-08-23,15.76,15.79,15.65,15.69,64560,0.0,1.0
2018-08-24,15.76,15.85,15.7,15.84,36371,0.0,1.0
2018-08-27,16.17,16.4,16.15,16.34,155521,0.0,1.0
2018-08-28,16.78,16.78,16.5,16.55,108435,0.0,1.0
2018-08-29,16.34,16.43,16.29,16.35,117817,0.0,1.0
2018-08-30,16.39,16.43,16.2,16.26,56432,0.0,1.0
2018-08-31,16.1,16.19,15.96,16.0,97344,0.0,1.0
2018-09-04,15.45,15.54,15.35,15.54,220242,0.0,1.0
2018-09-05,15.6,15.63,15.45,15.56,237539,0.0,1.0
2018-09-06,15.6,15.68,15.49,15.62,130320,0.0,1.0
2018-09-07,15.42,15.53,15.3,15.45,79109,0.0,1.0
2018-09-10,15.74,15.8,15.6,15.71,52613,0.0,1.0
2018-09-11,15.6,15.77,15.58,15.74,80041,0.0,1.0
2018-09-12,15.7,15.89,15.68,15.8,72510,0.0,1.0
2018-09-13,16.31,16.34,16.15,16.24,98497,0.0,1.0
2018-09-14,16.51,16.54,16.28,16.29,132771,0.0,1.0
2018-09-17,16.52,16.59,16.45,16.45,127999,0.0,1.0
2018-09-18,16.97,17.08,16.83,17.0,158019,0.0,1.0
2018-09-19,17.29,17.45,17.07,17.21,123567,0.0,1.0
2018-09-20,17.73,17.79,17.63,17.76,167901,0.0,1.0
2018-09-21,17.89,17.95,17.67,17.95,51666,0.0,1.0
2018-09-24,17.77,17.8,17.69,17.71,119518,0.0,1.0
2018-09-25,17.42,17.51,17.35,17.42,93591,0.0,1.0
2018-09-26,17.25,17.55,17.25,17.43,71329,0.0,1.0
2018-09-27,17.6,17.78,17.52,17.57,68368,0.0,1.0
2018-09-28,17.21,17.38,17.17,17.29,91887,0.0,1.0
2018-10-01,17.43,17.5,17.31,17.31,46458,0.0,1.0
