date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-08-15,15.73,15.73,15.73,15.73,3000,0.0,1.0
2018-08-16,15.93,16.02,15.83,15.97,14529,0.0,1.0
2018-08-17,15.75,15.99,15.75,15.81,4240,0.0,1.0
2018-08-20,15.96,16.11,15.9,16.1,10289,0.0,1.0
2018-08-21,16.16,16.43,16.16,16.32,6084,0.0,1.0
2018-08-22,15.98,16.16,15.83,16.07,7329,0.0,1.0
2018-08-23,16.03,16.03,15.87,15.96,23641,0.0,1.0
2018-08-24,15.98,16.05,15.88,16.05,22356,0.0,1.0
2018-08-27,16.4,16.54,16.4,16.5,14641,0.0,1.0
2018-08-28,16.92,16.92,16.73,16.78,7414,0.0,1.0
2018-08-29,16.8,16.8,16.71,16.77,5751,0.0,1.0
2018-08-30,16.65,16.75,16.59,16.59,4460,0.0,1.0
2018-08-31,16.34,16.34,16.15,16.28,12089,0.0,1.0
2018-09-04,15.68,15.75,15.64,15.75,7578,0.0,1.0
2018-09-05,15.77,15.88,15.74,15.75,33268,0.0,1.0
2018-09-06,15.83,15.92,15.69,15.86,11520,0.0,1.0
2018-09-07,15.58,15.72,15.53,15.6,7447,0.0,1.0
2018-09-10,15.95,15.99,15.85,15.85,12226,0.0,1.0
2018-09-11,15.81,15.95,15.81,15.91,3937,0.0,1.0
2018-09-12,15.87,16.05,15.84,16.03,6002,0.0,1.0
2018-09-13,16.43,16.5,16.4,16.47,9845,0.0,1.0
2018-09-14,16.82,16.82,16.65,16.67,10748,0.0,1.0
2018-09-17,16.84,16.87,16.75,16.75,18691,0.0,1.0
2018-09-18,17.22,17.32,17.1,17.31,12825,0.0,1.0
2018-09-19,17.57,17.66,17.55,17.55,7448,0.0,1.0
2018-09-20,18.01,18.08,17.86,17.98,107723,0.0,1.0
2018-09-21,18.18,18.18,17.96,18.08,14786,0.0,1.0
2018-09-24,17.94,17.96,17.88,17.88,19477,0.0,1.0
2018-09-25,17.61,17.74,17.6,17.62,25043,0.0,1.0
2018-09-26,17.52,17.76,17.52,17.69,6646,0.0,1.0
2018-09-27,17.86,18.08,17.76,17.76,22359,0.0,1.0
2018-09-28,17.48,17.63,17.45,17.52,11776,0.0,1.0
2018-10-01,17.65,17.76,17.56,17.56,7652,0.0,1.0
2018-10-02,17.53,17.74,17.52,17.59,39312,0.0,1.0
2018-10-03,17.72,17.77,17.62,17.62,25388,0.0,1.0
2018-10-04,17.62,17.62,17.36,17.45,19643,0.0,1.0
2018-10-05,17.22,17.22,17.05,17.18,14160,0.0,1.0
2018-10-08,16.8,16.94,16.7,16.94,15643,0.0,1.0
2018-10-09,16.68,16.85,16.64,16.77,18183,0.0,1.0
2018-10-10,16.71,16.71,16.17,16.26,54537,0.0,1.0
2018-10-11,16.32,16.46,15.96,16.11,30754,0.0,1.0
2018-10-12,16.31,16.32,16.01,16.26,30134,0.0,1.0
2018-10-15,16.82,16.95,16.64,16.64,26270,0.0,1.0
2018-10-16,17.16,17.19,16.99,17.15,26220,0.0,1.0
2018-10-17,16.92,17.03,16.74,16.93,23609,0.0,1.0
2018-10-18,16.86,16.93,16.4,16.56,50092,0.0,1.0
2018-10-19,16.21,16.61,16.2,16.54,14147,0.0,1.0
2018-10-22,16.34,16.34,16.23,16.34,14613,0.0,1.0
2018-10-23,16.01,16.3,15.89,16.21,44053,0.0,1.0
2018-10-24,15.54,15.54,14.97,14.97,45315,0.0,1.0
2018-10-25,15.48,15.65,15.41,15.5,19104,0.0,1.0
2018-10-26,15.28,15.68,15.24,15.66,26609,0.0,1.0
2018-10-29,16.31,16.39,15.96,16.02,17730,0.0,1.0
2018-10-30,16.7,16.81,16.49,16.74,25072,0.0,1.0
2018-10-31,17.05,17.08,16.79,16.79,9367,0.0,1.0
2018-11-01,17.17,17.27,17.06,17.24,20239,0.0,1.0
2018-11-02,17.9,17.9,17.3,17.69,2598642,0.0,1.0
2018-11-05,17.65,17.92,17.59,17.85,3655750,0.0,1.0
2018-11-06,17.84,17.89,17.73,17.85,2370573,0.0,1.0
2018-11-07,17.84,17.87,17.74,17.87,120602,0.0,1.0
2018-11-08,17.39,17.39,17.06,17.1,50324,0.0,1.0
2018-11-09,16.51,16.56,16.4,16.5,125005,0.0,1.0
2018-11-12,16.41,16.44,16.23,16.27,48688,0.0,1.0
2018-11-13,16.32,16.69,16.32,16.57,64104,0.0,1.0
2018-11-14,17.0,17.04,16.66,16.89,65684,0.0,1.0
2018-11-15,16.57,16.95,16.47,16.88,79449,0.0,1.0
2018-11-16,16.39,16.51,16.21,16.46,31801,0.0,1.0
2018-11-19,16.9,16.9,16.64,16.68,100517,0.0,1.0
2018-11-20,16.64,16.67,16.39,16.59,233845,0.0,1.0
2018-11-21,16.9,17.37,16.89,17.27,2065261,0.0,1.0
2018-11-23,16.94,17.1,16.94,17.07,69752,0.0,1.0
2018-11-26,17.41,17.46,17.32,17.45,65353,0.0,1.0
2018-11-27,17.36,17.36,16.53,16.68,117341,0.0,1.0
2018-11-28,16.81,17.21,16.66,17.21,107584,0.0,1.0
2018-11-29,17.01,17.22,17.01,17.19,2182151,0.0,1.0
2018-11-30,16.87,16.99,16.77,16.99,504192,0.0,1.0
2018-12-03,17.38,17.44,17.3,17.37,198747,0.0,1.0
2018-12-04,17.03,17.08,16.42,16.55,1365079,0.0,1.0
2018-12-06,16.23,16.54,16.06,16.54,225815,0.0,1.0
2018-12-07,16.49,16.56,16.12,16.2,91200,0.0,1.0
2018-12-10,16.11,16.22,15.86,16.15,185820,0.0,1.0
2018-12-11,16.68,16.68,16.35,16.52,108164,0.0,1.0
2018-12-12,16.93,17.16,16.93,17.02,76797,0.0,1.0
2018-12-13,17.13,17.13,16.87,16.97,130330,0.0,1.0
2018-12-14,16.75,16.78,16.55,16.61,79717,0.0,1.0
2018-12-17,16.5,16.63,16.31,16.4,123516,0.0,1.0
2018-12-18,16.74,16.76,16.53,16.65,127143,0.0,1.0
2018-12-19,16.73,16.85,16.27,16.42,94079,0.0,1.0
2018-12-20,16.37,16.44,16.16,16.23,250237,0.0,1.0
2018-12-21,16.29,16.35,15.96,16.02,87438,0.0,1.0
2018-12-24,16.12,16.12,15.57,15.58,89288,0.0,1.0
2018-12-26,15.51,16.19,15.43,16.08,105160,0.0,1.0
2018-12-27,15.76,15.84,15.49,15.84,115504,0.0,1.0
2018-12-28,15.82,15.94,15.78,15.82,127871,0.0,1.0
2018-12-31,15.78,16.08,15.66,15.72,154082,0.0,1.0
2019-01-02,15.3,15.52,15.3,15.48,130955,0.0,1.0
2019-01-03,15.28,15.42,15.25,15.34,92129,0.0,1.0
2019-01-04,15.65,16.09,15.64,16.04,70855,0.0,1.0
2019-01-07,16.14,16.2,16.03,16.19,140819,0.0,1.0
2019-01-08,16.59,16.62,16.3,16.36,70550,0.0,1.0
2019-01-09,16.86,16.95,16.72,16.92,63129,0.0,1.0
2019-01-10,16.63,16.77,16.57,16.75,290525,0.0,1.0
2019-01-11,16.27,16.33,16.18,16.28,148768,0.0,1.0
2019-01-14,16.3,16.6,16.3,16.57,168577,0.0,1.0
2019-01-15,16.51,16.58,16.45,16.53,68239,0.0,1.0
2019-01-16,16.41,16.53,16.41,16.44,37636,0.0,1.0
2019-01-17,16.17,16.43,16.15,16.3,153968,0.0,1.0
2019-01-18,16.64,16.64,16.46,16.57,99998,0.0,1.0
2019-01-22,16.22,16.28,16.12,16.17,209208,0.0,1.0
2019-01-23,16.16,16.17,16.05,16.1,72642,0.0,1.0
2019-01-24,16.25,16.5,16.22,16.42,128122,0.0,1.0
2019-01-25,17.12,17.31,17.12,17.19,99907,0.0,1.0
2019-01-28,17.05,17.12,17.01,17.11,181301,0.0,1.0
2019-01-29,16.97,16.99,16.74,16.8,46324,0.0,1.0
2019-01-30,16.76,17.0,16.68,16.93,64978,0.0,1.0
2019-01-31,16.72,16.99,16.7,16.9,93702,0.0,1.0
2019-02-01,17.0,17.11,16.97,17.05,52351,0.0,1.0
2019-02-04,16.72,16.91,16.72,16.91,549339,0.0,1.0
2019-02-05,16.9,17.03,16.85,16.98,661047,0.0,1.0
2019-02-06,16.91,16.96,16.85,16.94,363447,0.0,1.0
2019-02-07,16.35,16.36,16.09,16.15,84314,0.0,1.0
2019-02-08,15.91,15.92,15.72,15.9,53905,0.0,1.0
2019-02-11,15.78,15.87,15.76,15.86,25771,0.0,1.0
2019-02-12,16.19,16.36,16.19,16.33,705397,0.0,1.0
2019-02-13,16.34,16.35,16.14,16.2,50205,0.0,1.0
2019-02-14,16.0,16.07,15.91,15.98,76157,0.0,1.0
2019-02-15,16.22,16.29,16.16,16.28,142358,0.0,1.0
2019-02-19,15.95,16.23,15.95,16.21,65280,0.0,1.0
2019-02-20,16.56,16.7,16.53,16.64,54607,0.0,1.0
2019-02-21,16.53,16.65,16.46,16.52,38848,0.0,1.0
2019-02-22,16.63,16.83,16.45,16.55,66060,0.0,1.0
2019-02-25,17.18,17.18,17.03,17.07,107356,0.0,1.0
2019-02-26,17.04,17.2,17.02,17.18,86770,0.0,1.0
2019-02-27,17.2,17.28,17.09,17.2,40733,0.0,1.0
2019-02-28,17.09,17.19,17.07,17.14,24616,0.0,1.0
2019-03-01,17.53,17.59,17.46,17.49,37654,0.0,1.0
2019-03-04,17.51,17.51,17.28,17.41,25191,0.0,1.0
2019-03-05,17.34,17.4,17.2,17.4,79640,0.0,1.0
2019-03-06,17.2,17.24,17.09,17.13,44247,0.0,1.0
2019-03-07,16.76,16.79,16.59,16.64,34902,0.0,1.0
2019-03-08,16.35,16.54,16.35,16.53,42863,0.0,1.0
2019-03-11,16.42,16.52,16.35,16.51,40135,0.0,1.0
2019-03-12,16.35,16.36,16.1,16.24,32267,0.0,1.0
2019-03-13,16.31,16.48,16.25,16.47,41644,0.0,1.0
2019-03-14,16.27,16.32,16.1,16.18,44210,0.0,1.0
2019-03-15,16.31,16.32,16.12,16.24,348579,0.0,1.0
2019-03-18,16.35,16.54,16.33,16.51,80773,0.0,1.0
2019-03-19,16.87,16.89,16.43,16.66,144342,0.0,1.0
2019-03-20,16.25,16.6,16.25,16.5,29125,0.0,1.0
2019-03-21,16.25,16.32,16.18,16.28,58002,0.0,1.0
2019-03-22,15.96,15.96,15.61,15.68,69650,0.0,1.0
2019-03-25,15.71,15.81,15.66,15.78,46373,0.0,1.0
2019-03-26,15.62,15.68,15.55,15.59,73919,0.0,1.0
2019-03-27,15.73,15.73,15.47,15.66,60396,0.0,1.0
2019-03-28,15.55,15.59,15.43,15.56,62185,0.0,1.0
2019-03-29,15.7,15.76,15.65,15.72,58264,0.0,1.0
2019-04-01,16.09,16.22,16.09,16.2,85235,0.0,1.0
2019-04-02,16.31,16.43,16.25,16.4,83291,0.0,1.0
2019-04-03,16.68,16.74,16.58,16.65,44597,0.0,1.0
2019-04-04,16.76,16.88,16.71,16.78,63288,0.0,1.0
2019-04-05,16.67,16.67,16.06,16.21,70592,0.0,1.0
2019-04-08,16.77,16.78,16.7,16.74,41297,0.0,1.0
2019-04-09,16.56,16.69,16.55,16.58,34161,0.0,1.0
2019-04-10,16.48,16.65,16.47,16.6,78150,0.0,1.0
2019-04-11,16.84,16.98,16.84,16.93,48620,0.0,1.0
2019-04-12,17.32,17.32,17.18,17.28,33749,0.0,1.0
2019-04-15,17.45,17.48,17.39,17.45,627045,0.0,1.0
2019-04-16,17.66,17.72,17.59,17.66,109799,0.0,1.0
2019-04-17,18.2,18.24,18.13,18.22,42711,0.0,1.0
2019-04-18,18.3,18.39,18.21,18.37,93154,0.0,1.0
2019-04-22,18.34,18.49,18.33,18.41,20846,0.0,1.0
2019-04-23,17.99,18.01,17.86,17.93,36605,0.0,1.0
2019-04-24,17.51,17.6,17.4,17.52,36947,0.0,1.0
2019-04-25,17.29,17.33,17.19,17.3,66881,0.0,1.0
2019-04-26,17.27,17.36,17.24,17.34,21974,0.0,1.0
2019-04-29,17.31,17.46,17.29,17.46,66103,0.0,1.0
2019-04-30,17.33,17.45,17.2,17.38,33496,0.0,1.0
2019-05-01,17.35,17.45,17.16,17.16,41514,0.0,1.0
