date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,23.5,23.5,23.5,23.5,4679,0.0,1.0
2007-07-16,23.55,23.55,23.55,23.55,10016,0.0,1.0
2007-07-17,23.4,23.4,23.4,23.4,4464,0.0,1.0
2007-07-18,23.25,23.45,23.25,23.25,8735,0.0,1.0
2007-07-19,24.0,24.0,24.0,24.0,3763,0.0,1.0
2007-07-20,23.6,23.75,23.6,23.6,39956,0.0,1.0
2007-07-23,23.95,24.0,23.95,23.95,42177,0.0,1.0
2007-07-24,23.6,23.75,23.6,23.6,88450,0.0,1.0
2007-07-25,23.0,23.5,23.0,23.0,11015,0.0,1.0
2007-07-26,22.5,23.05,22.5,22.5,8273,0.0,1.0
2007-07-27,22.1,22.15,22.1,22.1,11055,0.0,1.0
2007-07-30,22.45,22.5,22.45,22.45,2420,0.0,1.0
2007-07-31,22.8,22.85,22.8,22.8,2222,0.0,1.0
2007-08-01,22.5,22.5,22.5,22.5,4975,0.0,1.0
2007-08-02,22.7,22.7,22.7,22.7,2996,0.0,1.0
2007-08-03,22.1,22.25,22.1,22.1,4645,0.0,1.0
2007-08-06,22.1,22.25,22.1,22.1,0,0.0,1.0
2007-08-07,21.75,21.95,21.75,21.75,3262,0.0,1.0
2007-08-08,23.0,23.0,23.0,23.0,2417,0.0,1.0
2007-08-09,21.9,22.35,21.9,21.9,5713,0.0,1.0
2007-08-10,21.45,21.6,21.45,21.45,8299,0.0,1.0
2007-08-13,21.35,21.5,21.35,21.35,800,0.0,1.0
2007-08-14,20.9,20.95,20.9,20.9,7777,0.0,1.0
2007-08-15,19.6,20.05,19.6,19.6,8201,0.0,1.0
2007-08-16,17.9,18.45,17.9,17.9,8808,0.0,1.0
2007-08-17,18.25,19.0,18.25,18.25,6207,0.0,1.0
2007-08-20,19.65,19.65,19.65,19.65,4335,0.0,1.0
2007-08-21,20.75,21.1,20.75,20.75,18432,0.0,1.0
2007-08-22,22.5,22.5,22.5,22.5,8115,0.0,1.0
2007-08-23,22.2,22.2,22.2,22.2,5866,0.0,1.0
2007-08-24,22.85,22.95,22.85,22.85,4386,0.0,1.0
2007-08-27,23.0,23.0,23.0,23.0,8707,0.0,1.0
2007-08-28,22.05,22.5,22.05,22.05,10522,0.0,1.0
2007-08-29,22.05,22.1,22.05,22.05,6827,0.0,1.0
2007-08-30,21.95,21.95,21.95,21.95,12239,0.0,1.0
2007-08-31,22.45,22.85,22.45,22.45,5260,0.0,1.0
2007-09-04,22.6,22.8,22.6,22.6,2048,0.0,1.0
2007-09-05,22.15,22.55,22.15,22.15,1395,0.0,1.0
2007-09-06,22.35,22.6,22.35,22.35,5582,0.0,1.0
2007-09-07,21.95,22.15,21.95,21.95,9693,0.0,1.0
2007-09-10,21.4,21.8,21.4,21.4,7564,0.0,1.0
2007-09-11,22.4,22.4,22.4,22.4,6220,0.0,1.0
2007-09-12,22.5,22.5,22.5,22.5,3300,0.0,1.0
2007-09-13,22.55,22.55,22.55,22.55,1389,0.0,1.0
2007-09-14,22.55,22.55,22.55,22.55,4911,0.0,1.0
2007-09-17,22.3,22.3,22.3,22.3,1331,0.0,1.0
2007-09-18,23.4,23.4,23.4,23.4,8248,0.0,1.0
2007-09-19,23.95,23.95,23.95,23.95,3901,0.0,1.0
2007-09-20,24.45,24.7,24.45,24.45,11373,0.0,1.0
2007-09-21,25.35,25.35,25.35,25.35,17126,0.0,1.0
2007-09-24,25.55,25.75,25.55,25.55,13802,0.0,1.0
2007-09-25,25.7,25.7,25.7,25.7,14742,0.0,1.0
2007-09-26,26.15,26.15,26.15,26.15,7205,0.0,1.0
2007-09-27,26.9,26.9,26.9,26.9,18271,0.0,1.0
2007-09-28,26.5,26.5,26.5,26.5,11378,0.0,1.0
2007-10-01,26.7,26.7,26.7,26.7,22762,0.0,1.0
2007-10-02,26.0,26.5,26.0,26.0,7776,0.0,1.0
2007-10-03,26.25,26.45,26.25,26.25,11540,0.0,1.0
2007-10-04,26.95,27.0,26.95,26.95,8227,0.0,1.0
2007-10-05,27.9,27.9,27.9,27.9,1739,0.0,1.0
2007-10-08,28.1,28.1,28.1,28.1,29515,0.0,1.0
2007-10-09,29.45,29.5,29.45,29.45,15370,0.0,1.0
2007-10-10,28.7,28.75,28.7,28.7,15990,0.0,1.0
2007-10-11,28.95,28.95,28.95,28.95,6759,0.0,1.0
2007-10-12,28.8,29.15,28.8,28.8,5848,0.0,1.0
2007-10-15,28.9,29.1,28.9,28.9,9904,0.0,1.0
2007-10-16,27.7,28.85,27.7,27.7,35562,0.0,1.0
2007-10-17,28.05,28.5,28.05,28.05,7590,0.0,1.0
2007-10-18,28.4,28.4,28.4,28.4,10914,0.0,1.0
2007-10-19,28.4,28.7,28.4,28.4,34337,0.0,1.0
2007-10-22,27.8,27.85,27.8,27.8,4878,0.0,1.0
2007-10-23,29.1,29.2,29.1,29.1,7899,0.0,1.0
2007-10-24,28.5,28.95,28.5,28.5,5328,0.0,1.0
2007-10-25,29.75,29.75,29.75,29.75,16076,0.0,1.0
2007-10-26,29.8,30.2,29.8,29.8,15727,0.0,1.0
2007-10-29,29.95,29.95,29.95,29.95,6067,0.0,1.0
2007-10-30,29.5,29.75,29.5,29.5,23772,0.0,1.0
2007-10-31,29.85,30.4,29.85,29.85,10667,0.0,1.0
