date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-20,107.0,107.0,107.0,107.0,100,0.0,1.0
2007-07-23,107.0,107.0,107.0,107.0,0,0.0,1.0
2007-07-24,107.0,107.0,107.0,107.0,0,0.0,1.0
2007-07-25,107.0,107.0,107.0,107.0,0,0.0,1.0
2007-07-26,107.0,107.0,107.0,107.0,0,0.0,1.0
2007-07-27,107.0,107.0,107.0,107.0,0,0.0,1.0
2007-07-30,107.0,107.0,107.0,107.0,0,0.0,1.0
2007-07-31,107.0,107.0,107.0,107.0,0,0.0,1.0
2007-08-01,101.45,101.45,101.45,101.45,200,0.0,1.0
2007-08-02,101.45,101.45,101.45,101.45,0,0.0,1.0
2007-08-03,100.4,100.4,100.4,100.4,1000,0.0,1.0
2007-08-06,100.4,100.4,100.4,100.4,0,0.0,1.0
2007-08-07,100.4,100.4,100.4,100.4,0,0.0,1.0
2007-08-08,100.4,100.4,100.4,100.4,0,0.0,1.0
2007-08-09,100.4,100.4,100.4,100.4,0,0.0,1.0
2007-08-10,100.4,100.4,100.4,100.4,0,0.0,1.0
2007-08-13,100.8,100.8,100.8,100.8,100,0.0,1.0
2007-08-14,100.8,100.8,100.8,100.8,0,0.0,1.0
2007-08-15,100.8,100.8,100.8,100.8,0,0.0,1.0
2007-08-16,100.8,100.8,100.8,100.8,0,0.0,1.0
2007-08-17,90.0,90.0,90.0,90.0,100,0.0,1.0
2007-08-20,90.0,90.0,90.0,90.0,0,0.0,1.0
2007-08-21,90.0,90.0,90.0,90.0,0,0.0,1.0
2007-08-22,90.0,90.0,90.0,90.0,0,0.0,1.0
2007-08-23,90.75,90.75,90.75,90.75,200,0.0,1.0
2007-08-24,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-08-27,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-08-28,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-08-29,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-08-30,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-08-31,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-09-04,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-09-05,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-09-06,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-09-07,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-09-10,90.75,90.75,90.75,90.75,0,0.0,1.0
2007-09-11,90.75,90.75,90.75,90.75,0,0.0,1.0
