date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-26,41.84,41.84,41.84,41.84,300,0.0,1.0
2017-09-27,41.65,41.65,41.65,41.65,100,0.0,1.0
2017-09-28,42.22,42.22,42.22,42.22,150,0.375,1.0
2017-09-29,42.22,42.22,42.22,42.22,2934,0.0,1.0
2017-10-04,42.3,42.3,42.1,42.1,331,0.0,1.0
2017-10-05,42.16,42.18,42.16,42.18,840,0.0,1.0
2017-10-06,42.18,42.18,42.18,42.18,10,0.0,1.0
2017-10-09,42.18,42.18,42.18,42.18,50,0.0,1.0
2017-10-11,41.39,41.39,41.39,41.39,200,0.0,1.0
2017-10-12,41.66,41.66,41.66,41.66,1000,0.0,1.0
2017-10-16,41.19,41.19,41.19,41.19,100,0.0,1.0
2017-10-17,41.5,41.5,41.47,41.47,240,0.0,1.0
2017-10-19,42.3,42.3,42.3,42.3,330,0.0,1.0
2017-10-20,42.3,42.3,42.3,42.3,1,0.0,1.0
2017-10-23,43.63,43.63,43.36,43.45,300,0.0,1.0
2017-10-25,43.59,43.6,43.59,43.6,290,0.0,1.0
2017-10-31,43.6,43.6,43.6,43.6,80,0.0,1.0
2017-11-09,46.63,46.63,46.63,46.63,150,0.0,1.0
2017-11-13,46.63,46.63,46.63,46.63,7,0.0,1.0
2017-11-21,45.38,45.38,45.38,45.38,160,0.0,1.0
2017-11-30,46.35,46.35,46.35,46.35,1902,0.0,1.0
2017-12-04,46.66,46.66,46.66,46.66,120,0.0,1.0
2017-12-05,46.76,46.76,46.76,46.76,120,0.0,1.0
2017-12-07,46.15,46.15,45.75,45.75,285,0.0,1.0
2017-12-08,46.16,46.16,46.16,46.16,420,0.0,1.0
2017-12-13,45.88,45.88,45.88,45.88,266,0.0,1.0
2017-12-14,45.22,45.22,45.22,45.22,100,0.0,1.0
2017-12-22,45.22,45.22,45.22,45.22,175,0.0,1.0
2017-12-27,45.22,45.22,45.22,45.22,45,0.0,1.0
2017-12-28,44.92,44.92,44.92,44.92,7,0.375,1.0
2018-01-02,47.54,47.54,47.54,47.54,300,0.0,1.0
2018-01-03,47.33,47.33,47.33,47.33,150,0.0,1.0
2018-01-04,48.01,48.01,48.01,48.01,2100,0.0,1.0
2018-01-05,48.01,48.01,48.01,48.01,66,0.0,1.0
2018-01-11,48.01,48.01,48.01,48.01,6,0.0,1.0
2018-01-17,48.01,48.01,48.01,48.01,42,0.0,1.0
2018-01-19,49.72,49.72,49.72,49.72,775,0.0,1.0
2018-01-22,49.72,49.72,49.72,49.72,110,0.0,1.0
2018-01-23,49.72,49.72,49.72,49.72,3,0.0,1.0
2018-01-24,49.48,49.48,49.48,49.48,320,0.0,1.0
2018-01-25,49.67,49.67,49.66,49.66,500,0.0,1.0
2018-01-29,49.66,49.66,49.66,49.66,37,0.0,1.0
2018-01-31,49.66,49.66,49.66,49.66,1,0.0,1.0
2018-02-07,47.27,47.27,47.27,47.27,210,0.0,1.0
2018-02-09,45.17,45.17,45.17,45.17,202,0.0,1.0
2018-02-12,46.47,46.47,46.47,46.47,406,0.0,1.0
2018-02-14,45.86,45.86,45.86,45.86,100,0.0,1.0
2018-02-15,46.46,46.46,46.46,46.46,100,0.0,1.0
2018-02-21,46.42,46.42,46.42,46.42,155,0.0,1.0
2018-02-22,46.71,46.71,46.71,46.71,100,0.0,1.0
2018-02-23,46.67,46.67,46.67,46.67,250,0.0,1.0
2018-02-27,46.67,46.67,46.67,46.67,50,0.0,1.0
2018-02-28,46.67,46.67,46.67,46.67,2650,0.0,1.0
2018-03-01,46.67,46.67,46.67,46.67,2,0.0,1.0
2018-03-06,45.75,45.75,45.75,45.75,100,0.0,1.0
2018-03-08,45.39,45.39,45.39,45.39,154,0.0,1.0
2018-03-09,45.39,45.39,45.39,45.39,154,0.0,1.0
2018-03-13,46.97,46.97,46.97,46.97,154,0.0,1.0
2018-03-14,46.35,46.35,46.0,46.0,304,0.0,1.0
2018-03-15,43.98,43.98,43.98,43.98,660,0.0,1.0
2018-03-16,45.96,45.96,45.96,45.96,4400,0.0,1.0
2018-04-02,45.67,45.67,45.67,45.67,20,0.0,1.0
2018-04-06,45.67,45.67,45.67,45.67,20,0.0,1.0
2018-04-09,45.67,45.67,45.67,45.67,50,0.0,1.0
2018-04-12,45.67,45.67,45.67,45.67,6,0.0,1.0
2018-04-17,45.67,45.67,45.67,45.67,43,0.0,1.0
2018-04-18,49.6,49.6,49.6,49.6,1396,0.0,1.0
2018-04-19,49.6,49.6,49.6,49.6,6,0.0,1.0
2018-04-23,49.6,49.6,49.6,49.6,3,0.0,1.0
2018-04-24,49.29,49.29,49.29,49.29,175,0.0,1.0
2018-04-26,50.0,50.0,50.0,50.0,236,0.0,1.0
2018-05-02,49.72,50.0,49.72,50.0,680,0.0,1.0
2018-05-03,50.0,50.0,50.0,50.0,50,0.0,1.0
2018-05-04,49.65,49.65,49.65,49.65,136,0.0,1.0
2018-05-07,50.27,50.27,50.27,50.27,240,0.0,1.0
2018-05-08,50.27,50.27,50.27,50.27,14065,0.0,1.0
2018-05-09,50.16,50.16,50.16,50.16,125,0.0,1.0
2018-05-10,50.16,50.16,50.16,50.16,3,0.0,1.0
2018-05-14,50.16,50.16,50.16,50.16,10,0.0,1.0
2018-05-16,51.82,51.89,51.82,51.89,340,0.0,1.0
2018-05-18,51.2,51.2,51.2,51.2,550,0.0,1.0
2018-05-22,51.2,51.2,51.2,51.2,50,0.0,1.0
2018-05-23,51.63,51.63,51.63,51.63,175,0.0,1.0
