date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-14,49.92,49.92,49.92,49.92,140,0.0,1.0
2016-01-15,49.13,49.13,49.13,49.13,1288,0.0,1.0
2016-01-19,49.1,49.1,49.1,49.1,150,0.0,1.0
2016-01-20,47.75,47.75,47.75,47.75,241,0.0,1.0
2016-01-21,49.48,49.48,49.48,49.48,350,0.0,1.0
2016-01-22,49.66,49.77,49.66,49.77,1468,0.0,1.0
2016-01-25,49.5,49.5,49.5,49.5,301,0.0,1.0
2016-01-26,49.28,49.28,49.22,49.22,390,0.0,1.0
2016-01-27,49.07,49.07,48.85,48.85,532,0.0,1.0
2016-01-28,47.97,48.11,47.97,48.04,1370,0.0,1.0
2016-01-29,48.04,48.04,48.04,48.04,41,0.0,1.0
2016-02-01,49.61,49.61,49.61,49.61,100,0.0,1.0
2016-02-02,49.61,49.61,49.61,49.61,0,0.0,1.0
2016-02-03,47.93,48.4,47.61,48.4,1330,0.0,1.0
2016-02-04,48.68,48.82,48.68,48.82,229,0.0,1.0
2016-02-05,48.82,48.82,48.82,48.82,207,0.0,1.0
2016-02-08,48.82,48.82,48.82,48.82,45,0.0,1.0
2016-02-09,43.77,44.4,43.59,43.6,1056,0.0,1.0
2016-02-10,44.17,44.17,43.71,43.71,350,0.0,1.0
2016-02-11,43.63,43.63,43.63,43.63,100,0.0,1.0
2016-02-12,43.63,43.63,43.63,43.63,25,0.0,1.0
2016-02-16,45.39,46.39,45.39,46.39,871,0.0,1.0
2016-02-17,47.23,47.48,47.23,47.47,729,0.0,1.0
2016-02-18,48.22,48.22,48.22,48.22,200,0.0,1.0
2016-02-19,47.3,47.3,47.3,47.3,500,0.0,1.0
2016-02-22,48.46,48.59,48.46,48.59,650,0.0,1.0
2016-02-23,48.48,48.48,48.01,48.06,612,0.0,1.0
2016-02-24,47.75,47.75,47.75,47.75,310,0.0,1.0
2016-02-25,48.69,48.69,48.1,48.61,600,0.0,1.0
2016-02-26,48.61,48.61,48.61,48.61,240,0.0,1.0
2016-02-29,50.43,50.43,49.62,49.62,1002,0.0,1.0
2016-03-01,50.36,50.38,50.36,50.38,550,0.0,1.0
2016-03-02,50.73,50.76,50.26,50.73,1020,0.0,1.0
2016-03-03,51.27,51.27,51.27,51.27,170,0.0,1.0
2016-03-04,51.07,52.29,51.07,51.68,1554,0.0,1.0
2016-03-07,51.68,51.68,51.68,51.68,79,0.0,1.0
2016-03-08,51.24,51.24,50.78,50.78,401,0.0,1.0
2016-03-09,50.79,50.79,50.73,50.73,371,0.0,1.0
2016-03-10,51.55,51.55,49.79,50.21,1954,0.0,1.0
2016-03-11,50.66,50.66,50.66,50.66,240,0.0,1.0
2016-03-14,51.41,51.51,51.41,51.51,300,0.0,1.0
2016-03-15,50.75,50.75,50.75,50.75,141,0.0,1.0
2016-03-16,51.22,52.16,50.42,51.14,1304,0.0,1.0
2016-03-17,51.7,51.7,51.7,51.7,703,0.0,1.0
2016-03-18,52.02,52.47,52.02,52.3,1553,0.0,1.0
2016-03-21,52.3,52.3,52.3,52.3,61,0.0,1.0
2016-03-22,52.64,52.7,52.51,52.51,1971,0.0,1.0
2016-03-23,52.91,52.91,51.26,51.26,1420,0.0,1.0
2016-03-24,50.67,51.29,50.67,51.25,2393,0.0,1.0
2016-03-28,51.25,51.25,51.25,51.25,15,0.0,1.0
2016-03-29,52.15,52.36,51.38,52.36,2149,0.0,1.0
2016-03-30,52.74,52.78,52.73,52.78,1744,0.0,1.0
2016-03-31,53.05,53.05,52.72,52.83,1894,0.0,1.0
2016-04-01,52.79,52.79,52.79,52.79,578,0.0,1.0
2016-04-04,52.79,53.18,52.79,52.9,3712,0.0,1.0
2016-04-05,52.49,52.55,52.43,52.46,562,0.0,1.0
2016-04-06,52.69,53.41,52.69,53.41,1994,0.0,1.0
2016-04-07,52.99,52.99,52.54,52.66,1300,0.0,1.0
2016-04-08,53.09,53.09,52.48,52.62,1068,0.0,1.0
2016-04-11,52.81,52.81,52.36,52.36,1886,0.0,1.0
2016-04-12,52.2,52.48,52.16,52.38,2024,0.0,1.0
2016-04-13,53.57,53.75,53.57,53.69,510,0.0,1.0
2016-04-14,53.44,53.67,53.44,53.67,2463,0.0,1.0
2016-04-15,53.67,53.67,53.67,53.67,0,0.0,1.0
2016-04-18,53.81,53.99,53.81,53.99,340,0.0,1.0
2016-04-19,53.82,53.82,53.5,53.56,1161,0.0,1.0
2016-04-20,54.17,54.39,54.17,54.25,2420,0.0,1.0
2016-04-21,54.25,54.25,54.25,54.25,89,0.0,1.0
2016-04-22,54.11,54.11,54.11,54.11,290,0.0,1.0
2016-04-25,54.15,54.16,54.0,54.0,1422,0.0,1.0
2016-04-26,54.44,54.44,54.05,54.26,3202,0.0,1.0
2016-04-27,55.31,55.31,53.94,54.02,694,0.0,1.0
2016-04-28,54.02,54.02,54.02,54.02,10,0.0,1.0
2016-04-29,54.02,54.02,54.02,54.02,0,0.0,1.0
2016-05-02,53.41,53.87,53.41,53.87,878,0.0,1.0
2016-05-03,52.93,53.0,52.93,53.0,508,0.0,1.0
2016-05-04,52.68,52.68,52.68,52.68,400,0.0,1.0
2016-05-05,52.71,52.71,52.66,52.66,210,0.0,1.0
2016-05-06,51.69,51.97,51.32,51.97,1414,0.0,1.0
2016-05-09,51.95,51.95,51.95,51.95,644,0.0,1.0
2016-05-10,52.76,52.76,51.94,52.1,3000,0.0,1.0
2016-05-11,52.6,52.64,52.49,52.55,853,0.0,1.0
2016-05-12,52.55,52.55,52.55,52.55,20,0.0,1.0
2016-05-13,51.88,51.9,51.88,51.9,311,0.0,1.0
2016-05-16,52.35,52.36,52.35,52.36,1400,0.0,1.0
2016-05-17,52.45,52.53,52.45,52.53,591,0.0,1.0
2016-05-18,52.5,52.5,52.25,52.25,300,0.0,1.0
2016-05-19,51.63,51.7,51.59,51.63,4823,0.0,1.0
2016-05-20,51.63,51.63,51.63,51.63,20,0.0,1.0
2016-05-23,52.88,52.88,52.82,52.87,1520,0.0,1.0
2016-05-24,53.11,53.87,53.11,53.84,1740,0.0,1.0
2016-05-25,53.78,53.78,53.78,53.78,101,0.0,1.0
2016-05-26,53.49,53.73,53.49,53.73,668,0.0,1.0
2016-05-27,54.31,54.31,54.31,54.31,150,0.0,1.0
2016-05-31,55.12,55.12,55.11,55.11,1040,0.0,1.0
2016-06-01,55.19,55.86,55.19,55.86,3420,0.0,1.0
2016-06-02,56.2,56.2,56.2,56.2,189,0.0,1.0
2016-06-03,56.2,56.2,56.2,56.2,160,0.0,1.0
2016-06-06,56.55,56.56,56.55,56.56,900,0.0,1.0
2016-06-07,56.81,56.82,56.81,56.82,416,0.0,1.0
2016-06-08,56.94,57.0,56.8,57.0,887,0.0,1.0
2016-06-09,56.62,56.62,56.62,56.62,510,0.0,1.0
2016-06-10,55.44,55.46,55.42,55.46,502,0.0,1.0
2016-06-13,55.46,55.46,55.46,55.46,221,0.0,1.0
2016-06-14,55.37,55.37,55.13,55.13,711,0.0,1.0
2016-06-15,56.03,56.07,56.0,56.04,1149,0.0,1.0
2016-06-16,56.04,56.04,56.04,56.04,6,0.0,1.0
2016-06-17,55.14,55.14,55.14,55.14,500,0.0,1.0
2016-06-20,56.14,56.14,56.14,56.14,402,0.0,1.0
2016-06-21,56.08,56.15,55.99,56.08,2952,0.0,1.0
2016-06-22,56.77,56.77,56.77,56.77,117,0.0,1.0
2016-06-23,56.77,56.77,56.77,56.77,0,0.0,1.0
2016-06-24,56.77,56.77,56.77,56.77,0,0.0,1.0
2016-06-27,53.5,53.5,52.0,52.0,1635,0.0,1.0
2016-06-28,52.89,52.89,52.78,52.78,280,0.0,1.0
2016-06-29,54.09,54.09,54.09,54.09,100,0.0,1.0
2016-06-30,54.7,54.71,54.68,54.71,500,0.0,1.0
2016-07-01,55.18,55.18,54.89,55.03,665,0.0,1.0
2016-07-05,55.03,55.03,55.03,55.03,10,0.0,1.0
2016-07-06,55.03,55.03,55.03,55.03,2,0.0,1.0
2016-07-07,55.03,55.03,55.03,55.03,0,0.0,1.0
2016-07-08,56.54,56.75,56.54,56.75,503,0.0,1.0
2016-07-11,56.5,57.41,56.5,57.41,886,0.0,1.0
2016-07-12,57.92,57.92,57.92,57.92,342,0.0,1.0
2016-07-13,58.21,58.21,58.15,58.15,601,0.0,1.0
2016-07-14,57.86,58.02,57.82,57.94,1648,0.0,1.0
2016-07-15,57.65,57.65,57.65,57.65,200,0.0,1.0
2016-07-18,58.02,58.04,58.02,58.04,832,0.0,1.0
2016-07-19,57.91,57.93,57.91,57.93,343,0.0,1.0
2016-07-20,57.86,58.58,57.86,58.51,1432,0.0,1.0
2016-07-21,58.39,58.39,58.22,58.24,692,0.0,1.0
2016-07-22,58.24,58.24,58.24,58.24,0,0.0,1.0
2016-07-25,58.64,58.67,58.62,58.67,769,0.0,1.0
2016-07-26,58.67,58.67,58.67,58.67,93,0.0,1.0
2016-07-27,59.34,59.51,59.33,59.51,865,0.0,1.0
2016-07-28,59.51,59.51,59.51,59.51,0,0.0,1.0
2016-07-29,59.8,60.31,59.72,60.31,1347,0.0,1.0
2016-08-01,60.75,60.75,60.75,60.75,467,0.0,1.0
2016-08-02,60.01,60.01,59.67,59.76,1803,0.0,1.0
2016-08-03,59.43,59.43,59.43,59.43,100,0.0,1.0
2016-08-04,59.43,59.43,59.43,59.43,30,0.0,1.0
2016-08-05,59.43,59.43,59.43,59.43,10,0.0,1.0
2016-08-08,61.0,61.0,60.0,60.13,2433,0.0,1.0
2016-08-09,60.19,60.45,60.19,60.45,501,0.0,1.0
2016-08-10,60.45,60.45,60.45,60.45,2,0.0,1.0
2016-08-11,60.68,60.68,60.64,60.64,250,0.0,1.0
2016-08-12,60.97,61.0,60.97,61.0,1000,0.0,1.0
2016-08-15,61.38,61.64,61.38,61.53,1823,0.0,1.0
2016-08-16,61.09,61.09,61.01,61.01,586,0.0,1.0
2016-08-17,61.01,61.01,61.01,61.01,0,0.0,1.0
2016-08-18,60.89,60.89,60.82,60.82,379,0.0,1.0
2016-08-19,61.24,61.24,61.11,61.11,442,0.0,1.0
2016-08-22,62.26,62.26,61.17,61.17,405,0.0,1.0
2016-08-23,62.11,62.2,62.11,62.2,466,0.0,1.0
2016-08-24,62.1,62.1,62.05,62.05,440,0.0,1.0
2016-08-25,62.44,62.44,61.43,61.65,3600,0.0,1.0
2016-08-26,61.43,61.43,61.43,61.43,239,0.0,1.0
2016-08-29,62.23,62.23,62.2,62.2,235,0.0,1.0
2016-08-30,62.25,62.25,62.25,62.25,598,0.0,1.0
2016-08-31,62.25,62.25,62.25,62.25,100084,0.0,1.0
2016-09-01,62.25,62.25,62.25,62.25,16,0.0,1.0
2016-09-02,62.88,62.94,62.78,62.82,971,0.0,1.0
2016-09-06,64.01,64.85,63.38,63.52,7920,0.0,1.0
2016-09-07,63.58,63.58,63.23,63.32,1020,0.0,1.0
2016-09-08,64.36,64.36,62.96,62.99,695,0.0,1.0
2016-09-09,62.37,62.37,61.49,61.59,20884,0.0,1.0
2016-09-12,60.83,61.97,60.51,61.89,15646,0.0,1.0
2016-09-13,61.51,61.55,60.53,60.75,7797,0.0,1.0
2016-09-14,61.21,61.21,60.97,61.0,500,0.0,1.0
2016-09-15,61.29,62.4,61.29,61.77,2107,0.0,1.0
2016-09-16,61.7,61.77,61.57,61.7,1212,0.0309,1.0
2016-09-19,62.36,62.36,61.54,61.92,11133,0.0,1.0
2016-09-20,61.83,61.96,61.42,61.42,1900,0.0,1.0
2016-09-21,61.73,62.06,61.66,62.06,700,0.0,1.0
2016-09-22,62.99,63.0,62.99,63.0,255,0.0,1.0
2016-09-23,63.23,63.23,62.91,62.91,312,0.0,1.0
2016-09-26,62.08,62.37,62.08,62.21,1248,0.0,1.0
