date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-04-03,30.25,30.25,30.18,30.18,401,0.0,1.0
2019-04-04,30.22,30.22,30.22,30.22,0,0.0,1.0
2019-04-05,30.35,30.5,30.35,30.38,1122,0.0,1.0
2019-04-08,30.42,30.42,30.42,30.42,302,0.0,1.0
2019-04-09,30.22,30.22,30.22,30.22,39,0.0,1.0
2019-04-10,30.34,30.34,30.34,30.34,0,0.0,1.0
2019-04-11,30.25,30.29,30.25,30.29,169,0.0,1.0
2019-04-12,30.36,30.38,30.36,30.38,1280,0.0,1.0
2019-04-15,30.37,30.43,30.32,30.42,1752,0.0,1.0
2019-04-16,30.31,30.31,30.31,30.31,34,0.0,1.0
2019-04-17,30.16,30.16,30.16,30.16,39,0.0,1.0
2019-04-18,30.1,30.24,30.1,30.24,1202,0.0,1.0
2019-04-22,30.23,30.25,30.21,30.25,2430,0.0,1.0
2019-04-23,30.63,30.63,30.63,30.63,0,0.0,1.0
2019-04-24,30.61,30.61,30.61,30.61,0,0.0,1.0
2019-04-25,30.66,30.75,30.62,30.63,4923,0.0,1.0
2019-04-26,30.64,30.72,30.64,30.72,1100,0.0,1.0
2019-04-29,30.82,30.82,30.76,30.76,2016,0.0,1.0
2019-04-30,30.76,30.76,30.76,30.76,60,0.0,1.0
2019-05-01,30.89,31.03,30.61,30.61,9141,0.0,1.0
2019-05-02,30.57,30.58,30.54,30.55,2616,0.0,1.0
2019-05-03,30.87,30.87,30.87,30.87,334,0.0,1.0
2019-05-06,30.76,30.76,30.76,30.76,15,0.0,1.0
2019-05-07,30.27,30.27,30.08,30.18,900,0.0,1.0
2019-05-08,30.19,30.19,30.19,30.19,1,0.0,1.0
2019-05-09,30.07,30.07,30.07,30.07,0,0.0,1.0
2019-05-10,30.08,30.08,30.08,30.08,0,0.0,1.0
2019-05-13,29.3,29.54,29.19,29.27,114822,0.0,1.0
2019-05-14,29.47,29.72,29.4,29.6,201441,0.0,1.0
2019-05-15,29.66,29.81,29.65,29.76,8525,0.0,1.0
2019-05-16,29.88,30.14,29.88,29.99,8194,0.0,1.0
2019-05-17,29.77,30.01,29.77,29.84,17816,0.0,1.0
2019-05-20,29.67,29.67,29.54,29.58,4221,0.0,1.0
2019-05-21,30.08,30.08,29.86,29.86,6352,0.0,1.0
2019-05-22,29.8,29.89,29.74,29.81,18494,0.0,1.0
2019-05-23,29.51,29.51,29.28,29.43,2835,0.0,1.0
2019-05-24,29.63,29.63,29.49,29.49,1915,0.0,1.0
2019-05-28,29.6,29.65,29.27,29.27,8642,0.0,1.0
2019-05-29,28.97,29.05,28.92,29.03,2378,0.0,1.0
2019-05-30,29.21,29.21,29.12,29.17,4491,0.0,1.0
2019-05-31,28.99,28.99,28.84,28.84,4024,0.0,1.0
2019-06-03,28.67,28.74,28.58,28.68,3441,0.0,1.0
