date,open_price,high_price,low_price,close_price,volume,dividend,split
2012-03-23,2.96,2.96,2.96,2.96,1800,0.0,1.0
2012-03-26,2.96,2.96,2.96,2.96,0,0.0,1.0
2012-03-27,3.15,3.15,3.15,3.15,1900,0.0,1.0
2012-03-28,3.15,3.15,3.15,3.15,0,0.0,1.0
2012-03-29,3.15,3.15,3.15,3.15,0,0.0,1.0
2012-03-30,3.34,3.34,3.34,3.34,4000,0.0,1.0
2012-04-02,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-03,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-04,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-05,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-09,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-10,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-11,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-12,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-13,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-16,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-17,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-18,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-19,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-20,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-23,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-24,3.34,3.34,3.34,3.34,0,0.0,1.0
2012-04-25,3.11,3.11,3.11,3.11,1000,0.0,1.0
2012-04-26,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-04-27,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-04-30,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-01,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-02,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-03,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-04,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-07,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-08,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-09,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-10,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-11,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-14,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-15,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-16,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-17,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-18,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-21,3.11,3.11,3.11,3.11,0,0.0,1.0
2012-05-22,3.28,3.28,3.28,3.28,1000,0.0,1.0
2012-05-23,3.28,3.28,3.28,3.28,0,0.0,1.0
2012-05-24,3.28,3.28,3.28,3.28,0,0.0,1.0
2012-05-25,3.06,3.06,3.06,3.06,200,0.0,1.0
2012-05-29,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-05-30,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-05-31,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-01,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-04,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-05,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-06,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-07,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-08,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-11,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-12,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-13,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-14,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-15,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-18,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-19,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-20,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-21,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-22,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-25,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-26,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-27,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-28,3.06,3.06,3.06,3.06,0,0.0,1.0
2012-06-29,4.05,4.05,4.05,4.05,500,0.0,1.0
2012-07-02,4.05,4.05,4.05,4.05,0,0.0,1.0
2012-07-03,4.05,4.05,4.05,4.05,0,0.0,1.0
2012-07-05,4.0,4.0,4.0,4.0,2500,0.0,1.0
2012-07-06,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-09,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-10,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-11,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-12,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-13,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-16,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-17,4.0,4.0,4.0,4.0,0,0.0,1.0
2012-07-18,4.46,4.46,4.46,4.46,2200,0.0,1.0
2012-07-19,4.46,4.46,4.46,4.46,100,0.0,1.0
2012-07-20,4.46,4.46,4.46,4.46,0,0.0,1.0
2012-07-23,4.46,4.46,4.46,4.46,0,0.0,1.0
2012-07-24,4.46,4.46,4.46,4.46,0,0.0,1.0
2012-07-25,3.94,4.03,3.94,4.03,3500,0.0,1.0
2012-07-26,3.94,4.03,3.94,4.03,0,0.0,1.0
2012-07-27,3.94,4.03,3.94,4.03,0,0.0,1.0
2012-07-30,3.94,4.03,3.94,4.03,0,0.0,1.0
2012-07-31,4.36,4.36,4.36,4.36,1800,0.0,1.0
2012-08-01,4.36,4.36,4.36,4.36,0,0.0,1.0
2012-08-02,4.4,4.4,4.4,4.4,1200,0.0,1.0
2012-08-03,4.4,4.4,4.4,4.4,10000,0.0,1.0
2012-08-06,4.4,4.4,4.4,4.4,0,0.0,1.0
2012-08-07,4.4,4.4,4.4,4.4,1200,0.0,1.0
2012-08-08,4.4,4.4,4.4,4.4,0,0.0,1.0
