date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,190.5,191.44,190.06,191.0,3600,0.0,1.0
1999-11-02,192.5,192.5,191.0,192.0,700,0.0,1.0
1999-11-03,192.0,192.25,192.0,192.25,2000,0.0,1.0
1999-11-04,192.25,192.25,191.0,191.0,400,0.0,1.0
1999-11-05,191.06,191.06,189.5,189.5,600,0.0,1.0
1999-11-08,189.5,189.5,189.5,189.5,0,0.0,1.0
1999-11-09,188.5,189.0,187.5,189.0,3200,0.0,1.0
1999-11-10,188.0,188.5,186.0,186.5,3700,0.0,1.0
1999-11-11,185.5,186.5,185.5,185.63,3800,0.0,1.0
1999-11-12,186.63,186.63,184.0,184.0,2400,0.0,1.0
1999-11-15,184.0,185.5,184.0,185.0,2100,0.0,1.0
1999-11-16,184.0,187.0,184.0,187.0,2500,0.0,1.0
1999-11-17,186.5,188.0,186.5,187.94,700,0.0,1.0
1999-11-18,189.0,192.88,188.0,192.88,2300,0.0,1.0
1999-11-19,191.88,191.88,190.5,190.5,12700,0.0,1.0
1999-11-22,190.25,191.5,190.25,190.5,1500,0.0,1.0
1999-11-23,190.5,190.5,188.81,188.81,1700,0.0,1.0
1999-11-24,188.81,188.81,187.63,188.06,1100,0.0,1.0
1999-11-26,187.06,187.06,187.06,187.06,200,0.0,1.0
1999-11-29,188.5,188.5,188.0,188.0,1300,0.0,1.0
1999-11-30,189.0,192.0,188.06,192.0,8000,0.0,1.0
1999-12-01,192.0,193.5,192.0,193.5,4000,0.0,1.0
1999-12-02,194.5,194.5,192.5,193.5,600,0.0,1.0
1999-12-03,193.88,196.0,193.88,194.0,3600,0.0,1.0
1999-12-06,195.0,206.0,195.0,204.25,4600,0.0,1.0
1999-12-07,205.25,206.63,201.0,202.5,3900,0.0,1.0
1999-12-08,201.5,202.0,200.81,201.06,3300,0.0,1.0
1999-12-09,200.25,200.25,199.0,199.0,1600,0.0,1.0
1999-12-10,198.0,198.0,194.06,194.06,2900,0.0,1.0
1999-12-13,192.5,192.5,192.5,192.5,1700,0.0,1.0
1999-12-14,192.5,192.5,191.0,191.0,1100,0.0,1.0
1999-12-15,190.0,194.0,187.25,194.0,11600,0.0,1.0
1999-12-16,193.0,193.06,193.0,193.06,200,0.0,1.0
1999-12-17,192.56,192.56,187.0,188.13,6100,0.0,1.0
1999-12-20,188.0,189.5,187.5,187.5,1000,0.0,1.0
1999-12-21,186.5,187.44,185.0,185.0,2600,0.0,1.0
1999-12-22,184.06,186.06,184.06,186.06,6400,0.0,1.0
1999-12-23,186.0,189.88,186.0,189.88,4500,0.0,1.0
1999-12-27,190.0,190.0,186.0,187.19,700,0.0,1.0
1999-12-28,186.19,186.19,185.5,185.5,500,0.0,1.0
1999-12-29,185.56,186.63,185.56,186.63,600,0.0,1.0
1999-12-30,185.63,186.0,185.06,185.06,3800,0.0,1.0
1999-12-31,185.06,185.5,185.06,185.5,600,0.0,1.0
2000-01-03,186.5,186.63,185.56,186.63,3500,0.0,1.0
2000-01-04,186.56,186.56,185.56,185.63,500,0.0,1.0
2000-01-05,185.94,185.94,184.75,184.94,1700,0.0,1.0
2000-01-06,184.06,186.0,184.06,185.94,9200,0.0,1.0
2000-01-07,186.0,191.0,185.06,191.0,17900,0.0,1.0
2000-01-10,192.94,192.94,188.06,188.06,3400,0.0,1.0
2000-01-11,187.06,191.88,186.25,186.25,3200,0.0,1.0
2000-01-12,186.25,186.94,186.0,186.94,17900,0.0,1.0
2000-01-13,187.41,187.41,186.31,187.25,1500,0.0,1.0
2000-01-14,186.75,187.0,185.31,185.31,3400,0.0,1.0
2000-01-18,185.31,188.38,185.31,187.38,6000,0.0,1.0
2000-01-19,186.38,190.0,186.38,189.94,8800,0.0,1.0
2000-01-20,189.94,190.0,187.94,190.0,42400,0.0,1.0
2000-01-21,189.0,189.0,187.0,187.0,3400,0.0,1.0
2000-01-24,187.0,188.44,186.44,186.44,2900,0.0,1.0
2000-01-25,186.44,187.81,186.44,187.81,6700,0.0,1.0
2000-01-26,189.75,189.75,186.5,186.5,2800,0.0,1.0
2000-01-27,187.5,187.5,186.5,187.5,1700,0.0,1.0
2000-01-28,187.13,188.25,187.13,188.19,1700,0.0,1.0
2000-01-31,187.19,187.94,186.44,186.44,2700,0.0,1.0
2000-02-01,186.44,188.38,186.44,186.5,5900,0.0,1.0
2000-02-02,187.5,187.94,186.5,187.88,3500,0.0,1.0
2000-02-03,187.88,188.0,187.69,187.94,600,0.0,1.0
2000-02-04,187.94,188.0,186.56,187.94,3100,0.0,1.0
2000-02-07,188.0,191.0,188.0,189.06,8600,0.0,1.0
2000-02-08,189.63,189.94,189.0,189.0,2900,0.0,1.0
2000-02-09,189.0,189.5,189.0,189.31,2200,0.0,1.0
2000-02-10,189.06,189.94,187.94,187.94,4100,0.0,1.0
2000-02-11,187.0,189.94,187.0,187.5,2100,0.0,1.0
2000-02-14,187.06,188.63,187.06,188.63,4100,0.0,1.0
2000-02-15,187.63,187.88,187.38,187.38,3900,0.0,1.0
2000-02-16,187.38,188.0,187.0,187.0,2200,0.0,1.0
2000-02-17,187.0,190.44,187.0,190.0,10400,0.0,1.0
2000-02-18,189.0,189.0,187.06,187.94,2000,0.0,1.0
2000-02-22,187.0,187.0,185.53,186.0,8100,0.0,1.0
2000-02-23,185.0,185.0,180.0,183.5,2200,0.0,1.0
2000-02-24,182.5,184.94,178.0,184.94,4500,0.0,1.0
2000-02-25,183.94,184.94,180.5,184.94,1600,0.0,1.0
2000-02-28,183.94,183.94,181.0,182.56,2000,0.0,1.0
2000-02-29,183.0,185.94,183.0,185.94,2600,0.0,1.0
2000-03-01,186.94,188.75,186.5,188.06,1900,0.0,1.0
2000-03-02,187.44,188.0,186.0,186.0,600,0.0,1.0
2000-03-03,185.75,185.75,183.0,183.0,1000,0.0,1.0
2000-03-06,182.0,183.94,182.0,182.94,400,0.0,1.0
2000-03-07,181.94,186.5,181.94,185.63,13300,0.0,1.0
2000-03-08,184.63,185.69,184.5,185.69,900,0.0,1.0
2000-03-09,185.0,185.0,180.75,183.5,4100,0.0,1.0
